Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:36:57 AM,32.0114,34.8506,← 260°,174,200,825, ,FlightAware ADS-B (TLV / LLBG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:37:13 AM,32.0089,34.8378,← 255°,179,206,"1,250","2,063",FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:37:29 AM,32.0052,34.8217,← 255°,176,203,"1,925","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:37:45 AM,32.0019,34.8059,← 256°,177,204,"2,500","2,000",FlightAware ADS-B (TLV / LLBG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:38:08 AM,31.9972,34.7837,← 255°,189,217,"3,225","1,276",FlightAware ADS-B (TLV / LLBG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:39:32 AM,32.0082,34.691,← 290°,236,272,"4,775","1,322",FlightAware MLAT (5 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:39:49 AM,32.0152,34.6702,← 290°,268,308,"5,450","2,328",FlightAware MLAT (7 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:40:30 AM,32.032,34.6101,← 285°,278,320,"7,025","2,105",FlightAware MLAT (4 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:40:46 AM,32.0368,34.5867,← 285°,284,327,"7,450","2,152",FlightAware MLAT (6 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:41:16 AM,32.0477,34.5413,← 285°,290,334,"8,675","2,478",FlightAware MLAT (6 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:41:32 AM,32.0526,34.516,← 285°,292,336,"9,350","2,071",FlightAware MLAT (6 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:42:19 AM,32.0681,34.4419,← 285°,314,361,"10,850","1,538",FlightAware MLAT (4 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:42:51 AM,32.0815,34.3902,← 285°,342,394,"11,375","1,289",FlightAware MLAT (4 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:43:23 AM,32.0937,34.3366,← 285°,358,412,"12,225","1,892",FlightAware MLAT (4 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:43:56 AM,32.1091,34.2647,← 285°,362,417,"13,425","2,881",FlightAware MLAT (4 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:44:26 AM,32.1213,34.2065,← 285°,362,417,"15,250","3,075",FlightAware MLAT (4 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:44:56 AM,32.1349,34.1485,← 285°,366,421,"16,500","2,575",FlightAware MLAT (5 sites)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:45:26 AM,32.1478,34.089,← 285°,374,430,"17,825","2,238",FlightAware ADS-B (SDV / LLSD)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:45:57 AM,32.1611,34.029,← 285°,385,443,"18,775","2,051",FlightAware ADS-B (LCA / LCLK)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:46:15 AM,32.1716,33.9895,← 291°,389,448,"19,500","2,262",FlightAware ADS-B (LLHZ)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:47:00 AM,32.2055,33.9052,← 296°,394,453,"21,150","2,288",FlightAware ADS-B (HFA / LLHA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:47:33 AM,32.2318,33.8415,← 296°,395,455,"22,475","2,262",FlightAware ADS-B (HFA / LLHA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:48:05 AM,32.2589,33.7758,← 296°,399,459,"23,600","1,976",FlightAware ADS-B (BEY / OLBA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:48:36 AM,32.2833,33.7167,← 296°,403,464,"24,550","1,721",FlightAware ADS-B (LLHZ)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:49:06 AM,32.3083,33.6559,← 296°,411,473,"25,350","1,600",FlightAware ADS-B (BEY / OLBA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:49:36 AM,32.3335,33.5946,← 296°,417,480,"26,150","1,600",FlightAware ADS-B (BEY / OLBA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:50:06 AM,32.358,33.5348,← 296°,421,484,"26,950","1,648",FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:50:37 AM,32.3844,33.4701,← 296°,422,486,"27,825","1,697",FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:51:07 AM,32.41,33.4075,← 296°,422,486,"28,675","1,575",FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:51:37 AM,32.435,33.346,← 295°,424,488,"29,400","1,275",FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:52:07 AM,32.4603,33.2827,← 295°,431,496,"29,950","1,075",FlightAware ADS-B (ECN / LCEN)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:52:37 AM,32.4869,33.2172,← 296°,436,502,"30,475","1,075",FlightAware ADS-B (ECN / LCEN)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:53:07 AM,32.5131,33.153,← 296°,441,507,"31,025","1,300",FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:53:37 AM,32.54,33.0867,← 296°,440,506,"31,775","1,425",FlightAware ADS-B (ECN / LCEN)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:54:07 AM,32.5657,33.0233,← 296°,439,505,"32,450","1,425",FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:54:37 AM,32.5926,32.9566,← 296°,438,504,"33,200","1,525",FlightAware ADS-B (ECN / LCEN)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:55:07 AM,32.6183,32.8928,← 296°,432,497,"33,975","1,550",FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:55:37 AM,32.6434,32.8304,← 295°,427,491,"34,750","1,400",FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:56:07 AM,32.6694,32.7655,← 295°,426,490,"35,375","1,125",FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:56:37 AM,32.6942,32.7037,← 295°,426,490,"35,875",950,FlightAware ADS-B (BEV / LLBS)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:57:07 AM,32.7191,32.6413,← 295°,427,491,"36,325",900,FlightAware ADS-B (BEV / LLBS)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:57:37 AM,32.7456,32.5749,← 295°,429,494,"36,775",850,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:58:07 AM,32.7699,32.5138,← 295°,430,495,"37,175",850,FlightAware ADS-B (BEV / LLBS)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:58:37 AM,32.7953,32.4499,← 295°,430,495,"37,625",850,FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:59:07 AM,32.8211,32.3847,← 295°,431,496,"38,025",393,FlightAware ADS-B (BEV / LLBS)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 07:59:38 AM,32.8476,32.3176,← 295°,432,497,"38,025",-25,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:00:08 AM,32.8734,32.2523,← 295°,434,499,"38,000",-25,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:00:39 AM,32.8992,32.1867,← 295°,434,499,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:01:09 AM,32.9249,32.1217,← 295°,433,498,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:01:39 AM,32.9508,32.056,← 295°,431,496,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:02:09 AM,32.9757,31.9925,← 295°,431,496,"38,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:02:39 AM,33.0006,31.9289,← 295°,431,496,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:03:09 AM,33.0263,31.8625,← 295°,430,495,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:03:40 AM,33.0518,31.7972,← 295°,429,494,"38,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:04:10 AM,33.0771,31.7322,← 295°,427,491,"38,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:04:40 AM,33.102,31.6685,← 295°,428,493,"38,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:05:11 AM,33.1275,31.6027,← 295°,427,491,"38,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:06:04 AM,33.1713,31.4895,← 295°,426,490,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:06:34 AM,33.196,31.4257,← 295°,426,490,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:07:04 AM,33.22,31.363,← 294°,426,490,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:07:35 AM,33.2452,31.2972,← 295°,426,490,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:08:05 AM,33.2704,31.2314,← 295°,426,490,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:08:35 AM,33.2939,31.17,← 294°,426,490,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:09:05 AM,33.3186,31.1054,← 295°,427,491,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:09:35 AM,33.3435,31.0402,← 294°,427,491,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - PMI,Air Europa,AEA456,B738,18/07/2023,Tue 08:10:05 AM,33.3677,30.9762,← 294°,427,491,"38,000", ,FlightAware ADS-B (AKT / LCRA)
