Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:44:10 PM,32.0142,34.8695,← 260°,174,200,375, ,FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:44:26 PM,32.0116,34.8551,← 257°,173,199,950,"2,156",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:44:42 PM,32.0087,34.8408,← 256°,170,196,"1,525","1,875",FlightAware ADS-B (AKT / LCRA)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:44:58 PM,32.0056,34.8255,← 257°,173,199,"1,950","1,641",FlightAware ADS-B (LLEK)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:45:14 PM,32.0029,34.8117,← 257°,174,200,"2,400","1,734",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:45:30 PM,32,34.7974,← 256°,175,201,"2,875","1,371",FlightAware ADS-B (LCA / LCLK)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:45:49 PM,31.9959,34.7779,← 257°,193,222,"3,200",908,FlightAware ADS-B (SDV / LLSD)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:46:08 PM,31.9921,34.7563,← 262°,211,243,"3,450",608,FlightAware ADS-B (AKT / LCRA)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:46:26 PM,31.9953,34.7359,← 290°,233,268,"3,575",792,FlightAware ADS-B (AKT / LCRA)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:46:44 PM,32.0028,34.7126,← 291°,254,292,"3,925","1,656",FlightAware ADS-B (LLEK)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:47:14 PM,32.0148,34.6748,← 290°,264,304,"4,900","2,130",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:47:34 PM,32.0237,34.6461,← 289°,269,310,"5,700","2,190",FlightAware ADS-B (LLEK)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:48:04 PM,32.0283,34.6037,← 274°,279,321,"6,725","2,306",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:48:28 PM,32.0305,34.5657,← 276°,277,319,"7,775","2,367",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:48:49 PM,32.0367,34.5352,← 286°,281,323,"8,500","2,068",FlightAware ADS-B (LCA / LCLK)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:49:05 PM,32.0424,34.5129,← 286°,280,322,"9,050","1,943",FlightAware ADS-B (BEV / LLBS)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:49:50 PM,32.0592,34.4456,← 287°,285,328,"10,475","1,167",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:51:29 PM,32.1012,34.274,← 286°,359,413,"11,850","1,136",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:52:47 PM,32.1376,34.1257,← 286°,371,427,"13,825","1,514",FlightAware ADS-B (TLV / LLBG)
TLV - PRG,El Al,LY2523,A320,29/06/2023,Thu 06:53:17 PM,32.1519,34.0667,← 286°,375,432,"14,575","1,525",FlightAware ADS-B (HFA / LLHA)
