Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:03:19 PM,32.0128,32.03676164282986,← 260°,175.0,201.0,450, ,FlightAware ADS-B (TLV / LLBG)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:03:35 PM,32.01278271509259,32.075412457812924,← 259°,176.0,203.0,"1,075","2,297",FlightAware ADS-B (TLV / LLBG)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:03:51 PM,32.0127342337126,32.12298739146474,← 255°,178.0,205.0,"1,675","2,063",FlightAware ADS-B (LCA / LCLK)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:04:07 PM,32.01264801866607,32.17581523505436,← 256°,179.0,206.0,"2,175","1,781",FlightAware ADS-B (LCA / LCLK)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:04:23 PM,32.01252065143032,32.23151816326656,← 256°,183.0,211.0,"2,625","1,654",FlightAware ADS-B (TLV / LLBG)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:04:46 PM,32.01234348248121,32.288498395136955,← 256°,188.0,216.0,"3,250","1,463",FlightAware ADS-B (SDV / LLSD)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:05:04 PM,32.01211735572394,32.345711390595284,← 266°,204.0,235.0,"3,625",908,FlightAware ADS-B (LLHZ)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:05:24 PM,32.0118675073964,32.40245525081321,← 289°,227.0,261.0,"3,825",700,FlightAware ADS-B (LLHZ)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:05:49 PM,32.01163402647669,32.45824268974484,← 290°,259.0,298.0,"4,150","1,336",FlightAware ADS-B (PFO / LCPH)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:06:19 PM,32.011454695576056,32.51272647394984,← 290°,272.0,313.0,"5,050","1,837",FlightAware ADS-B (LLEK)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:06:38 PM,32.011338691890785,32.56573119015007,← 282°,275.0,316.0,"5,650","2,049",FlightAware ADS-B (LCA / LCLK)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:07:00 PM,32.01128312173489,32.61713050456022,← 273°,278.0,320.0,"6,450","2,156",FlightAware ADS-B (AKT / LCRA)
TLV - PVG,Hainan Airlines,CHH778,B789,6/7/2023,Thu 02:07:26 PM,32.01128202083455,32.66684302080338,← 273°,277.0,319.0,"7,375","1,768",FlightAware ADS-B (AKT / LCRA)
