Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:36:53 PM,32.0138,34.8675,← 259°,174,200,325, ,FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:37:09 PM,32.0115,34.8524,← 258°,179,206,850,"2,016",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:37:25 PM,32.0083,34.8364,← 256°,185,213,"1,400","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:37:41 PM,32.0051,34.8213,← 257°,191,220,"1,850","1,641",FlightAware ADS-B (LLHZ)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:37:57 PM,32.0015,34.8047,← 255°,197,227,"2,275","1,884",FlightAware ADS-B (SDV / LLSD)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:38:24 PM,31.9957,34.7764,← 257°,194,223,"3,200","1,884",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:38:40 PM,31.9928,34.7582,← 264°,201,231,"3,625","1,297",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:39:01 PM,31.9955,34.7351,← 286°,218,251,"4,000","1,014",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:39:17 PM,32.001,34.718,← 291°,235,270,"4,250","1,078",FlightAware ADS-B (LLHS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:39:33 PM,32.0078,34.6964,← 290°,253,291,"4,575","1,174",FlightAware ADS-B (BEV / LLBS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:40:03 PM,32.0202,34.657,← 290°,278,320,"5,150","1,239",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:40:19 PM,32.026,34.6317,← 281°,280,322,"5,525","1,375",FlightAware ADS-B (BEV / LLBS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:40:39 PM,32.0284,34.6018,← 273°,283,326,"5,975","1,320",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:41:09 PM,32.0309,34.5549,← 274°,284,327,"6,625","1,185",FlightAware ADS-B (BEV / LLBS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:41:41 PM,32.0336,34.5045,← 274°,289,333,"7,200","1,621",FlightAware ADS-B (BEV / LLBS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:42:11 PM,32.0359,34.461,← 273°,288,331,"8,300","2,315",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:42:27 PM,32.0373,34.4337,← 274°,291,335,"8,975","2,182",FlightAware ADS-B (BEV / LLBS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:43:17 PM,32.0418,34.3544,← 274°,309,356,"10,700","1,744",FlightAware ADS-B (LLHZ)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:43:47 PM,32.0448,34.3013,← 274°,337,388,"11,300","1,661",FlightAware ADS-B (LLHZ)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:44:13 PM,32.0478,34.2549,← 277°,344,396,"12,250","2,313",FlightAware ADS-B (TLV / LLBG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:44:35 PM,32.0578,34.2142,← 293°,354,407,"13,150","2,226",FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:45:15 PM,32.091,34.1469,← 301°,369,425,"14,550","2,336",FlightAware ADS-B (SDV / LLSD)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:45:45 PM,32.1182,34.0938,← 301°,370,426,"15,875","2,625",FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:46:03 PM,32.1354,34.0605,← 303°,371,427,"16,650","2,250",FlightAware ADS-B (BEV / LLBS)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:46:35 PM,32.1664,34.0092,← 306°,379,436,"17,750","2,008",FlightAware ADS-B (LLHZ)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:47:05 PM,32.197,33.9586,← 305°,386,444,"18,725","1,950",FlightAware ADS-B (HFA / LLHA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:47:35 PM,32.2281,33.907,← 305°,392,451,"19,700","1,975",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:48:05 PM,32.261,33.852,← 305°,398,458,"20,700","1,950",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:48:35 PM,32.2937,33.7976,← 305°,403,464,"21,650","1,825",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:49:05 PM,32.3239,33.747,← 305°,406,467,"22,525","1,820",FlightAware ADS-B (HFA / LLHA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:49:36 PM,32.359,33.6882,← 305°,408,470,"23,500","1,697",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:50:06 PM,32.3897,33.6369,← 305°,412,474,"24,250","1,475",FlightAware ADS-B (PFO / LCPH)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:50:37 PM,32.4265,33.5751,← 305°,419,482,"25,000","1,377",FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:51:07 PM,32.4597,33.5192,← 305°,424,488,"25,650","1,275",FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:51:37 PM,32.4935,33.4624,← 305°,430,495,"26,275","1,225",FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:52:07 PM,32.5276,33.4051,← 305°,436,502,"26,875","1,230",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:52:38 PM,32.5644,33.3428,← 305°,439,505,"27,525","1,328",FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:53:08 PM,32.5996,33.2834,← 305°,442,509,"28,225","1,325",FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:53:38 PM,32.6353,33.223,← 305°,444,511,"28,850","1,100",FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:54:08 PM,32.6694,33.165,← 305°,448,516,"29,325",975,FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:54:38 PM,32.7054,33.1039,← 305°,454,522,"29,825","1,025",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:55:08 PM,32.7423,33.0411,← 305°,457,526,"30,350","1,225",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:55:38 PM,32.7777,32.9807,← 305°,454,522,"31,050","1,575",FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:56:08 PM,32.8143,32.9182,← 305°,448,516,"31,925","1,850",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:56:38 PM,32.85,32.8573,← 305°,438,504,"32,900","1,451",FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:57:09 PM,32.8839,32.7992,← 305°,439,505,"33,400",959,FlightAware ADS-B (AKT / LCRA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:57:39 PM,32.9202,32.737,← 305°,441,507,"33,875",514,FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:58:19 PM,32.9668,32.6566,← 305°,447,514,"34,000",101,FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:58:53 PM,33.0055,32.5901,← 305°,449,517,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:59:24 PM,33.042,32.5273,← 305°,457,526,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 12:59:55 PM,33.0794,32.4626,← 305°,457,526,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 01:00:43 PM,33.1381,32.3609,← 304°,458,527,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 01:01:14 PM,33.1747,32.2974,← 304°,459,528,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 01:01:45 PM,33.2129,32.2311,← 305°,460,529,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - RHO,El Al,LY5033,B738,10/7/2023,Thu 01:02:15 PM,33.2494,32.1675,← 304°,460,529,"34,000", ,FlightAware ADS-B (AKT / LCRA)
