Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 06:59:55 AM,32.012,34.8557,← 259°,162,186,700, ,FlightAware ADS-B (TLV / LLBG)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:00:11 AM,32.0093,34.8411,← 257°,160,184,"1,250","2,016",FlightAware ADS-B (AKT / LCRA)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:00:27 AM,32.0067,34.8279,← 256°,160,184,"1,775","1,922",FlightAware ADS-B (TLV / LLBG)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:00:43 AM,32.0037,34.8141,← 255°,161,185,"2,275","1,875",FlightAware ADS-B (LCA / LCLK)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:00:59 AM,32.0007,34.801,← 255°,161,185,"2,775","1,838",FlightAware ADS-B (LLHZ)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:01:23 AM,31.996,34.7801,← 254°,162,186,"3,500","1,535",FlightAware ADS-B (TLV / LLBG)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:01:42 AM,31.9923,34.7636,← 261°,173,199,"3,875","1,286",FlightAware ADS-B (LCA / LCLK)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:01:58 AM,31.9927,34.7463,← 284°,185,213,"4,250","1,224",FlightAware ADS-B (LLEK)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:02:20 AM,31.9986,34.7264,← 290°,200,230,"4,650","1,145",FlightAware ADS-B (SDV / LLSD)
TLV - RIX,Air Baltic,BTI772,BCS3,5/7/2023,Wed 07:02:36 AM,32.0039,34.7095,← 290°,213,245,"4,975","1,337",FlightAware ADS-B (LLEK)
