Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:11:00 AM,,,← 260°,165.0,190.0,675, ,FlightAware ADS-B (TLV / LLBG)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:11:16 AM,,,← 258°,159.0,183.0,"1,450","2,297",FlightAware ADS-B (LCA / LCLK)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:11:32 AM,,,← 257°,171.0,197.0,"1,900","1,414",FlightAware ADS-B (LLHS)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:11:51 AM,,,← 256°,191.0,220.0,"2,275","1,154",FlightAware ADS-B (AKT / LCRA)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:12:11 AM,,,← 246°,310.0,357.0,"2,650","1,537",FlightAware ADS-B (PFO / LCPH)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:12:32 AM,,,← 260°,369.0,425.0,"3,325","2,595",FlightAware ADS-B (LCA / LCLK)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:12:48 AM,,,← 283°,247.0,284.0,"4,250","2,607",FlightAware ADS-B (LLEK)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:13:33 AM,,,← 291°,249.0,287.0,"5,975","2,060",FlightAware ADS-B (LLHS)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:13:55 AM,,,↗ 32°,275.0,316.0,"6,550","1,393",FlightAware ADS-B (BEY / OLBA)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:14:15 AM,,,↗ 57°,277.0,319.0,"6,950","1,167",FlightAware ADS-B (AKT / LCRA)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:14:31 AM,,,→ 83°,287.0,330.0,"7,250","1,078",FlightAware ADS-B (PFO / LCPH)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:14:47 AM,,,→ 101°,295.0,339.0,"7,525",926,FlightAware ADS-B (LCA / LCLK)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:15:18 AM,,,→ 101°,298.0,343.0,"7,975","1,260",FlightAware ADS-B (AKT / LCRA)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:15:37 AM,,,→ 106°,503.0,579.0,"8,575","2,384",FlightAware ADS-B (LLEK)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:16:14 AM,,,→ 101°,302.0,348.0,"10,200","2,051",FlightAware ADS-B (BEV / LLBS)
TLV - SEZ,Air Seychelles,SEY21,A20N,6/7/2023,Thu 01:16:45 AM,,,→ 109°,583.0,671.0,"10,900","1,040",FlightAware ADS-B (TLV / LLBG)
