Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:12:10 AM    Departure (TLV) @ Wednesday 01:12:10 AM IDT,32.0112,32.03508422233607,FlightAware ADS-B (TLV / LLBG),205,236,925, ,FlightAware ADS-B (TLV / LLBG)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:12:10 AM,32.01117479284336,32.07358963874775,← 260°,208,239,"1,575","2,531",FlightAware ADS-B (TLV / LLBG)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:12:26 AM,32.01110950998476,32.12096237189602,← 256°,208,239,"2,275","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:12:42 AM,32.010995708499415,32.17353691852615,← 255°,212,244,"2,675","1,543",FlightAware ADS-B (LLEK)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:12:58 AM,32.010828131128434,32.22891982967858,← 256°,216,249,"3,175","1,271",FlightAware ADS-B (SDV / LLSD)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:13:17 AM,32.01071381082361,32.28517232377586,← 257°,261,300,"4,900","1,184",FlightAware ADS-B (TLV / LLBG)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:14:43 AM,32.01072881926943,32.34094243034354,← 290°,291,335,"6,550","1,704",FlightAware MLAT (7 sites)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:16:08 AM,32.010865304296914,32.395697594121266,← 282°,348,400,"7,825","2,059",FlightAware MLAT (5 sites)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:16:26 AM,32.01113882643996,32.44902426735906,← 284°,284,327,"8,300","1,448",FlightAware MLAT (7 sites)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:16:59 AM,32.0115749538266,32.5005690325811,← 286°,290,334,"9,925","1,821",FlightAware MLAT (4 sites)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:17:53 AM,32.01218341609209,32.55015868933402,← 284°,417,480,"10,850","1,303",FlightAware MLAT (9 sites)
TLV - SFO,United,UA955,B77W,19/07/2023,Wed 01:18:23 AM,32.01296799532111,32.597713098653834,← 286°,404,465,"11,250",808,FlightAware MLAT (7 sites)
