Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:39:55 AM,32.0167,32.040645653814835,← 301°,180.0,207.0,900, ,FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:40:11 AM,32.01672160613426,32.079256921607694,← 269°,185.0,213.0,"1,650","2,625",FlightAware ADS-B (AKT / LCRA)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:40:27 AM,32.01674906764896,32.126776760946015,← 262°,190.0,219.0,"2,300","2,578",FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:40:43 AM,32.016767453278696,32.179541931434656,← 258°,185.0,213.0,"3,025","2,578",FlightAware ADS-B (LLEK)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:40:59 AM,32.01676300035057,32.23516894321481,← 256°,192.0,221.0,"3,675","1,986",FlightAware ADS-B (AKT / LCRA)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:41:20 AM,32.016721816115115,32.29206196161344,← 258°,213.0,245.0,"4,250","1,912",FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:41:50 AM,32.01662877784132,32.34911252025357,← 259°,233.0,268.0,"5,300","1,836",FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:42:18 AM,32.01651754808785,32.40558822438421,← 288°,263.0,303.0,"6,025","1,991",FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:42:48 AM,32.01643471029235,32.46098742328654,← 289°,278.0,320.0,"7,225","2,011",FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:43:05 AM,32.01639437274326,32.51504146954474,← 284°,280.0,322.0,"7,600","1,043",FlightAware ADS-B (TLV / LLBG)
TLV - SKD,Qanot Sharq,QNT5542,A321,5/7/2023,Wed 10:43:34 AM,32.0163966227129,32.56753233935688,← 273°,286.0,329.0,"8,025",700,FlightAware ADS-B (LLHS)
