Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:35:09 PM,32.0111,34.8498,← 260°,188,216,700, ,FlightAware ADS-B (TLV / LLBG)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:35:25 PM,32.0081,34.8337,← 256°,197,227,"1,225","2,109",FlightAware ADS-B (SDV / LLSD)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:35:41 PM,32.0044,34.8173,← 255°,193,222,"1,825","2,391",FlightAware ADS-B (TLV / LLBG)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:35:57 PM,32.0009,34.8009,← 256°,186,214,"2,500","2,115",FlightAware ADS-B (SDV / LLSD)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:36:20 PM,31.9963,34.7785,← 256°,190,219,"3,200","1,756",FlightAware ADS-B (TLV / LLBG)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:36:38 PM,31.9928,34.7589,← 262°,198,228,"3,700","1,378",FlightAware ADS-B (BEV / LLBS)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:36:57 PM,31.9947,34.7375,← 287°,214,246,"4,050","1,098",FlightAware ADS-B (BEV / LLBS)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:37:19 PM,32.0031,34.7115,← 291°,239,275,"4,450","1,026",FlightAware ADS-B (LLHZ)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:37:35 PM,32.0087,34.6936,← 290°,257,296,"4,700","1,350",FlightAware ADS-B (LLHS)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:37:59 PM,32.0191,34.6596,← 288°,273,314,"5,350","2,054",FlightAware ADS-B (TLV / LLBG)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:38:21 PM,32.0265,34.6273,← 285°,276,318,"6,275","2,394",FlightAware ADS-B (LLHZ)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:38:51 PM,32.0364,34.583,← 285°,282,325,"7,425","1,764",FlightAware ADS-B (LLHZ)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:43:39 PM,32.1469,34.0703,← 285°,382,440,"15,625", ,FlightAware MLAT (5 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:44:19 PM,32.1788,33.9707,← 290°,388,447,"16,900","1,866",FlightAware MLAT (4 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:45:01 PM,32.2009,33.9148,← 296°,394,453,"18,175","1,862",FlightAware MLAT (4 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:45:46 PM,32.2312,33.824,← 296°,398,458,"19,600","1,694",FlightAware MLAT (6 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:46:26 PM,32.267,33.7481,← 296°,404,465,"20,575","1,521",FlightAware MLAT (4 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:46:56 PM,32.2957,33.6885,← 296°,406,467,"21,375","1,500",FlightAware MLAT (10 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:47:29 PM,32.3223,33.6223,← 296°,410,472,"22,150","1,762",FlightAware MLAT (7 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:47:59 PM,32.3466,33.5598,← 296°,416,479,"23,225","1,525",FlightAware MLAT (6 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:48:30 PM,32.3715,33.495,← 296°,422,486,"23,700","1,234",FlightAware MLAT (7 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:49:01 PM,32.3992,33.4302,← 296°,424,488,"24,500","1,476",FlightAware MLAT (6 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:49:32 PM,32.4261,33.3652,← 296°,430,495,"25,225","1,465",FlightAware MLAT (8 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:50:27 PM,32.4753,33.2465,← 296°,434,499,"26,600","1,402",FlightAware MLAT (4 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:51:04 PM,32.5074,33.1684,← 296°,423,487,"27,375","1,209",FlightAware MLAT (9 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:51:34 PM,32.534,33.1027,← 296°,442,509,"27,950","1,055",FlightAware MLAT (6 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:52:08 PM,32.5646,33.0292,← 296°,444,511,"28,500",993,FlightAware MLAT (4 sites)
TLV - SKG,El Al,LY5147,B738,17/07/2023,Mon 09:52:42 PM,32.594,32.9532,← 296°,448,516,"29,075","1,086",FlightAware ADS-B (LCA / LCLK)
