Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:38:53 PM,32.0112,34.8508,← 259°,181,208,925, ,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:39:09 PM,32.0082,34.8352,← 256°,177,204,"1,675","2,625",FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:39:25 PM,32.0051,34.8208,← 256°,172,198,"2,325","2,203",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:39:41 PM,32.0019,34.806,← 256°,172,198,"2,850","2,016",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:39:57 PM,31.999,34.7927,← 256°,167,192,"3,400","1,370",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:40:27 PM,31.9928,34.7631,← 256°,197,227,"3,900",844,FlightAware ADS-B (LLEK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:40:45 PM,31.9924,34.7423,← 284°,230,265,"4,075",811,FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:41:04 PM,31.9992,34.719,← 291°,254,292,"4,400","1,071",FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:41:34 PM,32.0125,34.6791,← 291°,264,304,"4,950","1,316",FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:42:01 PM,32.0242,34.643,← 290°,262,302,"5,650","1,779",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:42:17 PM,32.0275,34.6212,← 275°,266,306,"6,225","1,941",FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:42:52 PM,32.0308,34.5675,← 273°,288,331,"7,300","1,711",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:43:14 PM,32.0322,34.5315,← 273°,300,345,"7,850","1,788",FlightAware ADS-B (SDV / LLSD)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:43:44 PM,32.0349,34.4808,← 274°,316,364,"8,850","2,081",FlightAware ADS-B (SDV / LLSD)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:44:34 PM,32.0406,34.3947,← 274°,324,373,"10,625","1,648",FlightAware ADS-B (SDV / LLSD)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:46:53 PM,32.1794,34.2751,↖ 324°,,,, ,Estimated
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:47:07 PM,32.1042,34.12,← 302°,392,451,"14,425", ,FlightAware ADS-B (LLEK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:47:28 PM,32.1236,34.0832,← 301°,395,455,"15,025","1,821",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:48:17 PM,32.1733,33.9886,← 303°,415,478,"16,550","1,761",FlightAware ADS-B (LLEK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:49:00 PM,32.2029,34.0089,← 309°,360,414,"17,725","1,560",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:50:46 PM,32.3354,33.7218,← 305°,417,480,"20,425","1,489",FlightAware ADS-B (LLEK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:51:20 PM,32.3739,33.6571,← 305°,420,483,"21,200","1,261",FlightAware ADS-B (BEY / OLBA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:52:14 PM,32.4348,33.5555,← 305°,426,490,"22,275","1,179",FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:52:44 PM,32.4687,33.4982,← 305°,430,495,"22,850","1,217",FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:53:07 PM,32.4934,33.4524,← 305°,430,495,"23,350","1,245",FlightAware ADS-B (SDV / LLSD)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:53:37 PM,32.5285,33.3988,← 305°,433,498,"23,950","1,150",FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:54:07 PM,32.564,33.3393,← 305°,436,502,"24,500","1,200",FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:54:37 PM,32.5986,33.2811,← 305°,436,502,"25,150",875,FlightAware ADS-B (SDV / LLSD)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:55:07 PM,32.6309,33.2249,← 304°,444,511,"25,375",610,FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:55:36 PM,32.6657,33.1593,← 298°,448,516,"25,750","1,093",FlightAware ADS-B (ECN / LCEN)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:56:06 PM,32.6922,33.0928,← 294°,443,510,"26,450",993,FlightAware ADS-B (ECN / LCEN)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:56:50 PM,32.7274,32.9974,← 293°,451,519,"26,975",698,FlightAware ADS-B (HFA / LLHA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:58:30 PM,32.813,32.7644,← 293°,460,529,"28,125",731,FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:58:47 PM,32.8256,32.7287,← 299°,460,529,"28,400",695,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:59:11 PM,32.8572,32.6794,← 315°,469,540,"28,600",476,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 10:59:50 PM,32.9288,32.619,↖ 325°,481,554,"28,900",756,FlightAware ADS-B (BEY / OLBA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:01:22 PM,33.0892,32.4772,↖ 324°,472,543,"30,250",922,FlightAware ADS-B (HFA / LLHA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:01:52 PM,33.1419,32.4315,↖ 324°,469,540,"30,775",950,FlightAware ADS-B (TLV / LLBG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:02:22 PM,33.1945,32.386,↖ 324°,468,539,"31,200",800,FlightAware ADS-B (SDV / LLSD)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:02:52 PM,33.2459,32.3412,↖ 323°,464,534,"31,575",800,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:03:22 PM,33.2992,32.2946,↖ 323°,467,537,"32,000",946,FlightAware ADS-B (BEY / OLBA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:03:57 PM,33.3714,32.2382,↖ 323°,465,535,"32,600","1,142",FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:04:29 PM,33.429,32.1886,↖ 324°,463,533,"33,275",827,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:05:15 PM,33.5078,32.1198,↖ 324°,465,535,"33,675",623,FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:05:34 PM,33.5241,32.0909,↖ 323°,458,527,"33,950",750,FlightAware ADS-B (LLEK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:05:55 PM,33.5615,32.064,↖ 324°,454,522,"34,175",824,FlightAware ADS-B (ECN / LCEN)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:06:25 PM,33.6086,32.0199,↖ 324°,450,518,"34,650",925,FlightAware ADS-B (BEY / OLBA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:06:55 PM,33.6634,31.9746,↖ 324°,447,514,"35,100",818,FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:07:20 PM,33.6773,31.9283,↖ 321°,430,495,"35,400",669,FlightAware ADS-B (NIC / LCNC)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:08:00 PM,33.7688,31.8818,↖ 323°,442,509,"35,825",557,FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:08:30 PM,33.8184,31.8376,↖ 323°,445,512,"36,050",221,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:09:01 PM,33.87,31.7919,↖ 324°,451,519,"36,050", ,FlightAware ADS-B (AYT / LTAI)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:09:38 PM,33.9317,31.7372,↖ 324°,458,527,"36,050", ,FlightAware ADS-B (PFO / LCPH)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:10:11 PM,33.9891,31.6863,↖ 324°,460,529,"36,050", ,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:10:41 PM,34.0412,31.64,↖ 324°,458,527,"36,050", ,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:11:13 PM,34.0977,31.5899,↖ 324°,455,524,"36,050",-23,FlightAware ADS-B (GZP / LTFG)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:11:45 PM,34.1506,31.5428,↖ 323°,453,521,"36,025",-22,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:12:20 PM,34.2091,31.4906,↖ 324°,452,520,"36,025", ,FlightAware ADS-B (NIC / LCNC)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:12:50 PM,34.2596,31.4453,↖ 323°,450,518,"36,025", ,FlightAware ADS-B (NIC / LCNC)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:13:20 PM,34.3096,31.4005,↖ 323°,451,519,"36,025", ,FlightAware ADS-B (NIC / LCNC)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:13:46 PM,34.3545,31.3599,↖ 322°,451,519,"36,025",24,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:14:22 PM,34.4076,31.302,↖ 317°,449,517,"36,050",23,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:14:52 PM,34.4536,31.2508,↖ 317°,449,517,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:15:22 PM,34.4997,31.1998,↖ 318°,450,518,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:15:52 PM,34.5454,31.1493,↖ 318°,450,518,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:16:23 PM,34.5931,31.0966,↖ 317°,449,517,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:16:53 PM,34.6383,31.0463,↖ 317°,450,518,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:17:23 PM,34.6851,30.9943,↖ 318°,450,518,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:17:53 PM,34.7316,30.9425,↖ 317°,451,519,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:18:23 PM,34.7776,30.8913,↖ 317°,452,520,"36,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:18:54 PM,34.8255,30.8376,↖ 317°,449,517,"36,050",25,FlightAware ADS-B (AYT / LTAI)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:19:24 PM,34.8702,30.7876,↖ 317°,449,517,"36,075",25,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:19:54 PM,34.9159,30.7364,↖ 317°,447,514,"36,075",-25,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:20:24 PM,34.9623,30.6844,↖ 317°,446,513,"36,050",-28,FlightAware ADS-B (AKT / LCRA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:20:48 PM,34.9996,30.6441,↖ 323°,448,516,"36,050",-33,FlightAware ADS-B (NIC / LCNC)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:21:10 PM,35.039,30.6153,↖ 333°,454,522,"36,025", ,FlightAware ADS-B (BEY / OLBA)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:21:40 PM,35.0936,30.582,↖ 333°,453,521,"36,050",25,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:22:10 PM,35.1504,30.5466,↖ 333°,452,520,"36,050",-25,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:22:40 PM,35.2062,30.5113,↖ 333°,451,519,"36,025",-50,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:23:10 PM,35.2604,30.477,↖ 333°,452,520,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:23:40 PM,35.3165,30.4414,↖ 332°,451,519,"36,025",25,FlightAware ADS-B (RHO / LGRP)
TLV - SOF,Bulgaria air,LZB572,A320,20/07/2023,Thu 11:24:10 PM,35.3723,30.4056,↖ 332°,452,520,"36,025",25,FlightAware ADS-B (AYT / LTAI)
