Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:49:56 PM,32.0127,32.036665008938286,← 259°,167,192,625, ,FlightAware ADS-B (AKT / LCRA)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:50:12 PM,32.01268127468364,32.07532342944113,← 258°,166,191,"1,325","2,156",FlightAware ADS-B (LCA / LCLK)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:50:28 PM,32.01263229648158,32.122914271497784,← 257°,173,199,"1,775","1,688",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:50:44 PM,32.01254624456536,32.17576347922524,← 256°,180,207,"2,225","1,641",FlightAware ADS-B (LLEK)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:51:00 PM,32.012407296280344,32.23149035260269,↙ 230°,185,213,"2,650","1,545",FlightAware ADS-B (LLEK)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:51:17 PM,32.01217114474881,32.2885679621093,↓ 185°,192,221,"3,075","1,375",FlightAware ADS-B (LCA / LCLK)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:51:36 PM,32.01181018458709,32.34604211249141,↘ 132°,197,227,"3,475","1,071",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:51:52 PM,32.0113349388705,32.40330870254957,→ 109°,208,239,"3,700",563,FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:52:08 PM,32.010759673632585,32.45998112666506,→ 106°,234,269,"3,775",609,FlightAware ADS-B (SDV / LLSD)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:52:24 PM,32.01009419514913,32.51581271262751,→ 110°,251,289,"4,025",984,FlightAware ADS-B (BEV / LLBS)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:52:40 PM,32.00934194735725,32.57065270758461,↘ 112°,268,308,"4,300","1,453",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:52:56 PM,32.00850563077977,32.62441494906723,↘ 112°,282,325,"4,800","1,891",FlightAware ADS-B (PFO / LCPH)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:53:26 PM,32.007568129452814,32.67711484957379,↘ 112°,286,329,"5,750","2,000",FlightAware ADS-B (LLHS)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:53:56 PM,32.006517826755186,32.72878046745986,↘ 112°,291,335,"6,800","2,185",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:54:12 PM,32.00535955379687,32.77940951572638,↘ 112°,294,338,"7,425","1,386",FlightAware ADS-B (SDV / LLSD)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:55:41 PM,32.004013626830215,32.8292689621303,↘ 113°,298,343,"9,225","1,019",FlightAware MLAT (12 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:55:58 PM,32.002493345751716,32.878346958639256,↘ 113°,298,343,"9,225", ,FlightAware MLAT (8 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:56:15 PM,32.000810558489476,32.9266475298766,↘ 113°,298,343,"9,225", ,FlightAware MLAT (7 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:56:33 PM,31.99897201575738,32.97418910347749,↘ 113°,298,343,"9,225", ,FlightAware MLAT (7 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:56:49 PM,31.996986235597213,33.0209884171318,↘ 113°,298,343,"9,225", ,FlightAware MLAT (5 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:57:06 PM,31.994859496932758,33.06706955339754,↘ 113°,298,343,"9,225", ,FlightAware MLAT (4 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:57:39 PM,31.992579632191045,33.11250642150079,↘ 113°,298,343,"9,225",115,FlightAware MLAT (4 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:58:11 PM,31.9901364004463,33.157359183037784,↘ 113°,298,343,"9,350",531,FlightAware MLAT (5 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:58:27 PM,31.98753778680344,33.20163598915122,↘ 113°,298,343,"9,650","1,308",FlightAware MLAT (5 sites)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:58:50 PM,31.984766433844854,33.24534506211257,↓ 162°,340,391,"10,200","1,356",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:59:19 PM,31.981781130904302,33.28845959199648,↓ 194°,337,388,"10,825","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 01:59:49 PM,31.978546720825047,33.33094859544082,↓ 190°,337,388,"11,675","1,575",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 02:00:19 PM,31.975030771059362,33.372788548317295,↓ 191°,343,395,"12,400","1,275",FlightAware ADS-B (TLV / LLBG)
TLV - SSH,Arkia,IZ1045,E190,16/07/2023,Sun 02:00:49 PM,31.97120137181885,33.41395996943885,↓ 191°,357,411,"12,950","1,175",FlightAware ADS-B (LLEK)
