Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:40:09 AM,32.0102,34.8479,← 255°,169,194,"1,175", ,FlightAware ADS-B (LLEK)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:40:25 AM,32.0073,34.8355,← 255°,165,190,"1,800","2,203",FlightAware ADS-B (AKT / LCRA)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:40:41 AM,32.0041,34.8203,← 257°,168,193,"2,350","1,781",FlightAware ADS-B (LLEK)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:40:57 AM,32.0014,34.8064,← 257°,168,193,"2,750","1,154",FlightAware ADS-B (TLV / LLBG)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:41:46 AM,31.9987,34.7921,← 262°,208,239,"3,600",864,FlightAware ADS-B (LLEK)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:42:03 AM,31.9943,34.7389,← 288°,230,265,"3,700",915,FlightAware ADS-B (TLV / LLBG)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:42:27 AM,32.0042,34.7088,← 291°,260,299,"4,225","1,972",FlightAware ADS-B (TLV / LLBG)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:42:57 AM,32.0174,34.6669,← 290°,276,318,"5,475","2,610",FlightAware ADS-B (SDV / LLSD)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:43:17 AM,32.0256,34.6379,← 284°,280,322,"6,400","2,857",FlightAware ADS-B (TLV / LLBG)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:43:39 AM,32.0284,34.6033,← 274°,285,328,"7,475","2,385",FlightAware ADS-B (LLHZ)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:43:56 AM,32.0305,34.5784,← 279°,287,330,"7,950",798,FlightAware ADS-B (LLHS)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:44:26 AM,32.0412,34.532,← 286°,284,327,"8,100",700,FlightAware ADS-B (LLHZ)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:44:56 AM,32.0516,34.4889,← 286°,290,334,"8,650","1,920",FlightAware ADS-B (TLV / LLBG)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:45:41 AM,32.0684,34.4189,← 286°,297,342,"10,500","1,800",FlightAware ADS-B (HFA / LLHA)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:46:11 AM,32.0803,34.3696,← 286°,332,382,"10,900",825,FlightAware ADS-B (HFA / LLHA)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:46:41 AM,32.0931,34.3162,← 286°,357,411,"11,325","1,575",FlightAware ADS-B (TLV / LLBG)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:47:11 AM,32.1069,34.2579,← 286°,360,414,"12,475","2,225",FlightAware ADS-B (HFA / LLHA)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:47:41 AM,32.1204,34.2011,← 286°,361,415,"13,550","1,975",FlightAware ADS-B (HFA / LLHA)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:48:11 AM,32.1339,34.1444,← 286°,368,423,"14,450","1,750",FlightAware ADS-B (HFA / LLHA)
TLV - STR,Israir,ISR271,A320,22/07/2023,Sat 08:48:41 AM,32.1482,34.0839,← 286°,375,432,"15,300","1,700",FlightAware ADS-B (HFA / LLHA)
