Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:24:48 AM,32.0138,34.8667,← 260°,177,204,475, ,FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:25:04 AM,32.0115,34.8514,← 259°,177,204,"1,075","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:25:20 AM,32.0084,34.8356,← 257°,182,209,"1,575","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:25:36 AM,32.0054,34.8217,← 255°,182,209,"2,075","1,828",FlightAware ADS-B (LLHZ)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:25:52 AM,32.002,34.8058,← 256°,183,211,"2,550","1,667",FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:26:21 AM,31.9959,34.7784,← 256°,188,216,"3,325","1,532",FlightAware ADS-B (BEV / LLBS)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:26:39 AM,31.9922,34.7584,← 264°,198,228,"3,750","1,286",FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:26:56 AM,31.9939,34.7403,← 285°,207,238,"4,075","1,042",FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:27:15 AM,32.0006,34.7191,← 290°,226,260,"4,375","1,010",FlightAware ADS-B (BEY / OLBA)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:27:45 AM,32.012,34.6828,← 290°,254,292,"4,900","1,160",FlightAware ADS-B (TLV / LLBG)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:28:08 AM,32.0218,34.6512,← 288°,272,313,"5,400","1,570",FlightAware ADS-B (LLHZ)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:28:28 AM,32.0277,34.622,← 283°,278,320,"6,025","1,890",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:28:58 AM,32.0381,34.5768,← 285°,288,331,"6,975","2,100",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:29:28 AM,32.0485,34.5315,← 285°,291,335,"8,125","2,311",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:29:59 AM,32.0595,34.4826,← 285°,293,337,"9,325","2,033",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:30:44 AM,32.075,34.4139,← 285°,306,352,"10,700","1,520",FlightAware ADS-B (SDV / LLSD)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:31:14 AM,32.0867,34.3625,← 285°,331,381,"11,225","1,000",FlightAware ADS-B (SDV / LLSD)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:31:44 AM,32.0988,34.3085,← 285°,356,410,"11,700","1,050",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:32:14 AM,32.1121,34.249,← 285°,376,433,"12,275","1,575",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:32:44 AM,32.1255,34.1891,← 285°,382,440,"13,275","2,115",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:33:15 AM,32.1392,34.1281,← 285°,384,442,"14,425","2,115",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:33:45 AM,32.1528,34.0666,← 285°,392,451,"15,425","2,059",FlightAware ADS-B (LLEK)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:34:06 AM,32.1626,34.0238,← 287°,394,453,"16,175","2,250",FlightAware ADS-B (SDV / LLSD)
TLV - SZG,Israir,ISR247,A320,18/07/2023,Tue 08:34:23 AM,32.1733,33.992,← 295°,392,451,"16,850","2,077",FlightAware ADS-B (PFO / LCPH)
