Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:22:51 PM,32.0096,32.033428681547036,← 258°,177.0,204.0,"1,375", ,FlightAware ADS-B (SDV / LLSD)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:23:07 PM,32.00957911407021,32.07187378538742,← 256°,177.0,204.0,"2,000","2,484",FlightAware ADS-B (TLV / LLBG)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:23:23 PM,32.00952407569565,32.11920175691631,← 255°,175.0,201.0,"2,700","2,531",FlightAware ADS-B (TLV / LLBG)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:23:39 PM,32.00942827749412,32.17176064089531,← 255°,174.0,200.0,"3,350","1,905",FlightAware ADS-B (TLV / LLBG)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:24:00 PM,32.00928297043514,32.22715074694605,← 256°,195.0,224.0,"3,875","1,354",FlightAware ADS-B (LCA / LCLK)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:24:20 PM,32.00908638835526,32.28379330479563,← 265°,222.0,255.0,"4,275","1,269",FlightAware ADS-B (TLV / LLBG)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:24:39 PM,32.00886970295026,32.34063845209712,← 289°,245.0,282.0,"4,700","1,929",FlightAware ADS-B (TLV / LLBG)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:25:09 PM,32.00868362545648,32.39694060872012,← 291°,262.0,302.0,"5,850","2,283",FlightAware ADS-B (AKT / LCRA)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:25:25 PM,32.008546009075495,32.45226435015915,← 291°,272.0,313.0,"6,450","2,068",FlightAware ADS-B (BEY / OLBA)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:26:44 PM,32.0084881863232,32.50607006121209,← 273°,282.0,325.0,"9,125","2,092",FlightAware MLAT (5 sites)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:27:14 PM,32.0085377124801,32.558124835184266,← 315°,296.0,341.0,"10,250","1,861",FlightAware MLAT (4 sites)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:27:38 PM,32.00876205530561,32.60832222309156,↑ 353°,322.0,371.0,"10,800","1,257",FlightAware MLAT (5 sites)
TLV - TAS,Uzbekistan Airways,UZB304,A21N,4/7/2023,Tue 11:28:22 PM,32.00930312931154,32.65681508217576,↑ 355°,364.0,419.0,"11,675","1,442",FlightAware MLAT (5 sites)
