Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:51:03 PM,32.0109,32.034779173173426,← 256°,174,200,"1,150", ,FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:51:19 PM,32.01087695345679,32.07330162938222,← 256°,182,209,"1,575","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:51:35 PM,32.01081835605767,32.12071768224024,← 256°,186,214,"1,950","1,453",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:51:51 PM,32.01071864484312,32.17336777924345,← 256°,186,214,"2,350","1,429",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:52:17 PM,32.01056581254132,32.22882994124669,← 257°,188,216,"2,950","1,398",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:52:35 PM,32.01035960954901,32.285543260103005,← 261°,188,216,"3,375","1,038",FlightAware ADS-B (LLHZ)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:52:56 PM,32.01012511164546,32.34246970129312,← 290°,193,222,"3,625",512,FlightAware ADS-B (SDV / LLSD)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:53:16 PM,32.00989674848941,32.39892034142034,← 290°,220,253,"3,725",690,FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:53:46 PM,32.0097112611899,32.45439769089419,← 290°,240,276,"4,200","1,207",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:54:02 PM,32.009579802419495,32.508624893247664,← 290°,244,281,"4,650","1,671",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:54:21 PM,32.009510961899636,32.56141815874457,← 282°,251,289,"5,175","1,583",FlightAware ADS-B (LLHZ)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:54:38 PM,32.00949930394391,32.612669405562166,← 274°,259,298,"5,600","1,946",FlightAware ADS-B (AKT / LCRA)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:54:58 PM,32.00953823066118,32.662314911053265,← 274°,262,302,"6,375","2,340",FlightAware ADS-B (BEV / LLBS)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:55:28 PM,32.00962371825005,32.71029664752234,← 274°,263,303,"7,550","2,475",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:55:58 PM,32.00975301400331,32.75657879717931,← 274°,263,303,"8,850","2,315",FlightAware ADS-B (BEY / OLBA)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:56:14 PM,32.009929201927825,32.80120319683193,← 296°,270,311,"9,325","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:56:30 PM,32.010171001563535,32.84422549907374,↖ 324°,281,323,"9,850","1,843",FlightAware ADS-B (BEV / LLBS)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:56:49 PM,32.01051340226764,32.88571917201231,↑ 356°,296,341,"10,400","1,115",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:57:09 PM,32.010994493197096,32.92576968795456,↑ 345°,320,368,"10,575",474,FlightAware ADS-B (BEY / OLBA)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:57:27 PM,32.0116326332411,32.96443463893415,↖ 319°,331,381,"10,700",780,FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:57:59 PM,32.01246938219628,33.00172165567109,↖ 316°,353,406,"11,225","1,281",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:58:15 PM,32.013506656593,33.03767965044723,↖ 317°,356,410,"11,725","1,980",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:58:49 PM,32.01480488984631,33.07235538564217,↑ 356°,370,426,"12,875","2,063",FlightAware ADS-B (BEY / OLBA)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:59:19 PM,32.01640457132081,33.1058196574309,↑ 356°,369,425,"13,925","1,850",FlightAware ADS-B (AKT / LCRA)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 06:59:49 PM,32.0183470235337,33.13813690868727,↑ 356°,377,434,"14,725","1,549",FlightAware ADS-B (LLHS)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:00:20 PM,32.02066729281998,33.16936630716537,↑ 356°,382,440,"15,500","1,648",FlightAware ADS-B (HFA / LLHA)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:00:50 PM,32.02339677877689,33.19956196020352,↑ 356°,383,441,"16,400","1,650",FlightAware ADS-B (TLV / LLBG)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:01:20 PM,32.026560375525555,33.22877382745122,↑ 356°,387,445,"17,150","1,252",FlightAware ADS-B (LLHS)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:03:03 PM,32.03036131703257,33.25703328141609,↑ 356°,398,458,"19,175","1,300",FlightAware MLAT (7 sites)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:03:35 PM,32.034807048940195,33.28438342899917,↑ 356°,400,460,"20,075","1,386",FlightAware MLAT (7 sites)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:04:09 PM,32.03990841238658,33.31086189163521,↑ 356°,410,472,"20,700",762,FlightAware MLAT (7 sites)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:04:40 PM,32.04567050770765,33.33650743381874,↑ 356°,412,474,"20,900",680,FlightAware MLAT (9 sites)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:05:13 PM,32.05210292895486,33.36135440654443,↑ 356°,418,481,"21,425",992,FlightAware MLAT (8 sites)
TLV - TBS,Arkia,IZ417,E190,13/07/2023,Thu 07:05:45 PM,32.05921339287047,33.385434575724986,↑ 356°,422,486,"21,975","1,545",FlightAware MLAT (4 sites)
