Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:13:57 AM,32.0121,34.854,← 260°,170,196,"1,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:14:13 AM,32.0094,34.8398,← 257°,167,192,"1,700","2,250",FlightAware ADS-B (AKT / LCRA)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:14:29 AM,32.0064,34.8253,← 256°,169,194,"2,200","1,641",FlightAware ADS-B (NIC / LCNC)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:14:45 AM,32.0034,34.8112,← 256°,172,198,"2,575","1,781",FlightAware ADS-B (TLV / LLBG)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:15:01 AM,32.0001,34.7963,← 256°,169,194,"3,150","1,714",FlightAware ADS-B (TLV / LLBG)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:15:20 AM,31.9961,34.7783,← 256°,182,209,"3,575","1,050",FlightAware ADS-B (TLV / LLBG)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:15:41 AM,31.992,34.7571,← 263°,209,241,"3,850",941,FlightAware ADS-B (TLV / LLBG)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:16:11 AM,32.0003,34.7202,← 291°,254,292,"4,375","1,775",FlightAware ADS-B (TLV / LLBG)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:16:41 AM,32.013,34.68,← 290°,266,306,"5,625","2,379",FlightAware ADS-B (SDV / LLSD)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:17:09 AM,32.0249,34.6402,← 285°,281,323,"6,675","1,873",FlightAware ADS-B (LLHS)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:19:46 AM,32.0693,34.3803,← 287°,364,419,"11,400","1,811",FlightAware MLAT (4 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:21:15 AM,32.114,34.2107,← 287°,383,441,"14,100","1,817",FlightAware ADS-B (LLHS)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:22:46 AM,32.1598,34.0283,← 287°,392,451,"16,850","1,780",FlightAware MLAT (7 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:23:18 AM,32.1786,33.9665,← 296°,396,456,"17,750","1,546",FlightAware MLAT (5 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:23:51 AM,32.203,33.9032,← 296°,400,460,"18,525","1,477",FlightAware MLAT (4 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:24:22 AM,32.2333,33.8374,← 296°,408,470,"19,325","1,403",FlightAware MLAT (7 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:24:53 AM,32.2596,33.7769,← 296°,408,470,"19,975","1,333",FlightAware MLAT (4 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:25:25 AM,32.2852,33.7124,← 296°,412,474,"20,725","1,219",FlightAware MLAT (5 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:25:57 AM,32.313,33.646,← 296°,418,481,"21,275","1,210",FlightAware MLAT (7 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:26:27 AM,32.3378,33.5841,← 296°,420,483,"21,975","1,100",FlightAware MLAT (9 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:26:57 AM,32.3634,33.5224,← 296°,424,488,"22,375","1,262",FlightAware MLAT (8 sites)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:27:30 AM,32.4168,33.4383,← 296°,431,496,"23,300","1,475",FlightAware ADS-B (PFO / LCPH)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:27:58 AM,32.4154,33.3937,← 296°,426,490,"23,875",908,FlightAware ADS-B (HFA / LLHA)
TLV - TGD,Air Montenegro,MNE2801,A320,21/07/2023,Fri 05:29:19 AM,32.4857,33.221,← 296°,434,499,"24,950",869,FlightAware MLAT (7 sites)
