Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 08:58:44 AM,32.013,34.8619,← 260°,165,190,575, ,FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 08:59:00 AM,32.0104,34.8474,← 257°,162,186,"1,200","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 08:59:16 AM,32.0082,34.8361,← 257°,161,185,"1,775","1,875",FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 08:59:32 AM,32.0048,34.8197,← 256°,177,204,"2,200","1,266",FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 08:59:48 AM,32.0018,34.8051,← 256°,200,230,"2,450",951,FlightAware ADS-B (LLEK)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:00:13 AM,31.9954,34.7748,← 256°,242,278,"2,850","1,143",FlightAware ADS-B (JRS / LLJR)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:00:30 AM,31.9925,34.7532,← 272°,262,302,"3,250","2,192",FlightAware ADS-B (SDV / LLSD)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:00:52 AM,31.9996,34.7237,← 290°,264,304,"4,275","2,971",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:01:22 AM,32.0128,34.6806,← 290°,270,311,"5,825","2,553",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:01:49 AM,32.024,34.6432,← 285°,273,314,"6,700","1,674",FlightAware ADS-B (BEY / OLBA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:02:05 AM,32.0268,34.622,← 274°,274,315,"7,025","1,109",FlightAware ADS-B (BEY / OLBA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:02:35 AM,32.0294,34.5765,← 274°,278,320,"7,550",850,FlightAware ADS-B (LLEK)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:03:05 AM,32.0318,34.5307,← 273°,284,327,"7,875",575,FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:03:35 AM,32.0342,34.4838,← 274°,286,329,"8,125",295,FlightAware ADS-B (LLEK)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:04:01 AM,32.0365,34.4421,← 276°,286,329,"8,150",536,FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:04:17 AM,32.0416,34.4176,← 289°,290,334,"8,500","1,924",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:04:47 AM,32.0551,34.3719,← 289°,295,339,"9,625","2,086",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:05:21 AM,32.0707,34.3196,← 290°,312,359,"10,725","1,362",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:05:52 AM,32.0867,34.2666,← 290°,346,398,"11,100",910,FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:06:22 AM,32.103,34.2126,← 289°,367,422,"11,650","1,675",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:06:52 AM,32.1201,34.1557,← 289°,368,423,"12,775","2,225",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:07:22 AM,32.1367,34.1003,← 290°,367,422,"13,875","2,175",FlightAware ADS-B (HFA / LLHA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:07:52 AM,32.1538,34.0436,← 289°,367,422,"14,950","1,805",FlightAware ADS-B (HFA / LLHA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:08:26 AM,32.1738,33.9813,← 295°,375,432,"15,800","1,546",FlightAware ADS-B (HFA / LLHA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:08:57 AM,32.1972,33.9258,← 299°,379,436,"16,625","1,621",FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:09:28 AM,32.2265,33.8687,← 302°,384,442,"17,475","1,598",FlightAware ADS-B (BEY / OLBA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:09:58 AM,32.2549,33.8146,← 302°,388,447,"18,250","1,500",FlightAware ADS-B (BEV / LLBS)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:10:28 AM,32.2833,33.7606,← 302°,392,451,"18,975","1,475",FlightAware ADS-B (HFA / LLHA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:10:59 AM,32.3133,33.7034,← 302°,395,455,"19,750","1,548",FlightAware ADS-B (SDV / LLSD)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:11:30 AM,32.3431,33.6465,← 302°,396,456,"20,575","1,402",FlightAware ADS-B (SDV / LLSD)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:12:00 AM,32.373,33.5896,← 302°,403,464,"21,175","1,325",FlightAware ADS-B (SDV / LLSD)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:12:30 AM,32.4015,33.5349,← 302°,403,464,"21,900","1,475",FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:13:00 AM,32.4305,33.4796,← 302°,402,463,"22,650","1,262",FlightAware ADS-B (LCA / LCLK)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:13:33 AM,32.4629,33.4175,← 302°,409,471,"23,225","1,214",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:14:03 AM,32.4931,33.3594,← 301°,406,467,"23,925","1,150",FlightAware ADS-B (TLV / LLBG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:14:33 AM,32.5219,33.3041,← 302°,412,474,"24,375",891,FlightAware ADS-B (HFA / LLHA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:16:55 AM,32.6932,33.0877,← 313°,428,493,"26,525", ,Estimated
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:16:58 AM,32.6494,33.0159,← 302°,430,495,"27,150", ,FlightAware MLAT (4 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:17:39 AM,32.7127,32.9351,← 302°,430,495,"27,625",930,FlightAware MLAT (6 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:18:09 AM,32.7441,32.8751,← 302°,432,497,"28,025",861,FlightAware MLAT (7 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:18:40 AM,32.7765,32.8123,← 301°,432,497,"28,675",774,FlightAware MLAT (10 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:19:10 AM,32.8075,32.7504,← 302°,438,504,"28,750", ,FlightAware MLAT (11 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:19:40 AM,32.8386,32.6888,← 302°,440,506,"29,425", ,FlightAware MLAT (10 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:20:12 AM,32.8717,32.6232,← 301°,404,465,"29,775",714,FlightAware MLAT (10 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:20:43 AM,32.9051,32.5591,← 301°,444,511,"30,225",961,FlightAware MLAT (12 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:21:16 AM,32.9403,32.4901,← 301°,442,509,"30,750",750,FlightAware MLAT (10 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:21:47 AM,32.9726,32.4236,← 301°,440,506,"31,000",959,FlightAware MLAT (6 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:22:17 AM,33.0055,32.3629,← 301°,442,509,"31,300",750,FlightAware MLAT (8 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:22:49 AM,33.0381,32.2956,← 301°,444,511,"31,800",516,FlightAware MLAT (4 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:23:21 AM,33.073,32.2281,← 301°,444,511,"32,250",750,FlightAware MLAT (10 sites)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:23:53 AM,33.1065,32.1614,← 301°,443,510,"32,650",919,FlightAware ADS-B (HFA / LLHA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:24:23 AM,33.1395,32.0963,← 301°,439,505,"33,125",850,FlightAware ADS-B (BEY / OLBA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:24:53 AM,33.169,32.0374,← 301°,435,501,"33,525",875,FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:25:23 AM,33.2014,31.9729,← 301°,434,499,"33,775",861,FlightAware ADS-B (BEY / OLBA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:25:54 AM,33.2329,31.9101,← 301°,434,499,"34,700",639,FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:26:24 AM,33.2628,31.85,← 301°,483,556,"35,350","1,022",FlightAware ADS-B (PFO / LCPH)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:27:03 AM,33.3039,31.7678,← 299°,414,476,"35,950","1,212",FlightAware ADS-B (BEY / OLBA)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:27:42 AM,33.3404,31.6948,← 301°,405,466,"36,000","1,087",FlightAware ADS-B (LCA / LCLK)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:28:12 AM,33.3704,31.6343,← 301°,411,473,"36,000",619,FlightAware ADS-B (LLEK)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:28:45 AM,33.4022,31.57,← 301°,418,481,"36,000",46,FlightAware ADS-B (GZP / LTFG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:29:17 AM,33.4335,31.5068,← 301°,426,490,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:29:48 AM,33.4636,31.4458,← 301°,432,497,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:30:18 AM,33.4939,31.3846,← 301°,434,499,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - TIA,Israir,ISR163,A320,26/06/2023,Mon 09:30:48 AM,33.5251,31.3212,← 301°,433,498,"36,000", ,FlightAware ADS-B (AKT / LCRA)
