Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:24:15 PM,32.0132,34.862,← 262°,172,198,550, ,FlightAware ADS-B (AKT / LCRA)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:24:32 PM,32.0111,34.846,← 261°,175,201,"1,250","2,318",FlightAware ADS-B (AKT / LCRA)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:24:48 PM,32.0089,34.8308,← 258°,182,209,"1,825","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:25:04 PM,32.0051,34.8163,← 251°,186,214,"2,300","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:25:20 PM,32.0006,34.7997,← 254°,187,215,"2,875","1,977",FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:25:48 PM,31.9945,34.7728,← 257°,194,223,"3,750","1,333",FlightAware ADS-B (LLHS)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:26:05 PM,31.9927,34.7523,← 271°,221,254,"3,875",529,FlightAware ADS-B (LLEK)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:26:22 PM,31.9967,34.7314,← 291°,246,283,"4,050",926,FlightAware ADS-B (LLEK)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:26:39 PM,32.005,34.7084,← 292°,266,306,"4,400","1,714",FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:26:57 PM,32.0121,34.6861,← 289°,270,311,"5,050","2,000",FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:27:21 PM,32.0221,34.6515,← 288°,288,331,"5,800","1,159",FlightAware ADS-B (LLHZ)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:27:41 PM,32.0279,34.6161,← 275°,327,376,"5,900",875,FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:27:57 PM,32.0292,34.5903,← 274°,334,384,"6,325","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:28:13 PM,32.0318,34.5614,← 279°,337,388,"7,150","2,353",FlightAware ADS-B (LLHZ)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:29:32 PM,32.0625,34.4359,← 286°,340,391,"10,050","2,164",FlightAware MLAT (5 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:30:06 PM,32.0786,34.3669,← 285°,342,394,"11,225","2,228",FlightAware MLAT (5 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:30:40 PM,32.0948,34.2986,← 286°,344,396,"12,575","2,086",FlightAware MLAT (4 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:31:10 PM,32.1133,34.2346,← 286°,356,410,"13,450","1,850",FlightAware MLAT (4 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:31:40 PM,32.1214,34.1858,← 286°,362,417,"14,425","2,041",FlightAware MLAT (5 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:32:11 PM,32.1359,34.1248,← 286°,372,428,"15,525","2,129",FlightAware MLAT (4 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:32:42 PM,32.1523,34.0626,← 286°,378,435,"16,625","1,981",FlightAware MLAT (5 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:33:29 PM,32.177,33.9702,← 295°,386,444,"18,100","1,722",FlightAware MLAT (4 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:34:10 PM,32.2049,33.8937,← 296°,390,449,"19,150","1,394",FlightAware MLAT (4 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:34:40 PM,32.235,33.8354,← 296°,396,456,"19,750","1,538",FlightAware MLAT (6 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:35:28 PM,32.2734,33.7416,← 296°,391,450,"21,150","1,778",FlightAware MLAT (6 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:36:01 PM,32.3009,33.6757,← 296°,400,460,"22,150","1,359",FlightAware MLAT (4 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:36:32 PM,32.3258,33.6148,← 296°,406,467,"22,600","1,338",FlightAware MLAT (8 sites)
TLV - TIV,El Al,LY5167,B738,16/07/2023,Sun 01:37:06 PM,32.3524,33.5461,← 296°,414,476,"23,600","1,276",FlightAware MLAT (11 sites)
