Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:47:41 PM,32.0097,34.8444,← 258°,178,205,"1,700", ,FlightAware ADS-B (TLV / LLBG)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:47:57 PM,32.0065,34.8296,← 255°,184,212,"2,250","2,203",FlightAware ADS-B (TLV / LLBG)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:48:13 PM,32.0032,34.8141,← 256°,184,212,"2,875","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:48:29 PM,31.9996,34.7975,← 256°,181,208,"3,500","1,743",FlightAware ADS-B (TLV / LLBG)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:48:50 PM,31.9956,34.7771,← 257°,205,236,"3,950","1,207",FlightAware ADS-B (TLV / LLBG)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:49:10 PM,31.9925,34.7527,← 267°,229,264,"4,325","1,813",FlightAware ADS-B (SDV / LLSD)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:49:38 PM,32.0016,34.7167,← 290°,243,280,"5,400","2,172",FlightAware ADS-B (LLEK)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:50:08 PM,32.0129,34.6804,← 290°,258,297,"6,425","1,898",FlightAware ADS-B (SDV / LLSD)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:50:27 PM,32.0211,34.6525,← 286°,276,318,"6,950","1,316",FlightAware ADS-B (LLEK)
TLV - TRN,Ryanair,FR5901,B738,22/07/2023,Sat 04:50:57 PM,32.0312,34.6076,← 286°,289,333,"7,500","1,000",FlightAware ADS-B (LLEK)
