Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:07:00 PM    Left Gate (TLV) @ Monday 12:07:00 PM IDT,32.0137,32.03770708529361,Airline,152.0,175.0,700, ,FlightAware ADS-B (TLV / LLBG)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Taxi Time: 15 minutes,32.01368343529706,32.07644364998849,FlightAware ADS-B (TLV / LLBG),149.0,171.0,"1,425","2,545",FlightAware ADS-B (LLHS)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:22:26 PM    Departure (TLV) @ Monday 12:22:26 PM IDT,32.0136405172675,32.124147629033715,← 259°,145.0,167.0,"2,100","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:22:26 PM,32.01356531093846,32.17714755878796,← 258°,150.0,173.0,"2,625","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:22:43 PM,32.01345509903384,32.23305938046628,← 256°,153.0,176.0,"3,150","1,875",FlightAware ADS-B (LLEK)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:22:59 PM,32.01330766641468,32.29030943062106,← 255°,167.0,192.0,"3,625","1,536",FlightAware ADS-B (TLV / LLBG)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:23:15 PM,32.01311475661406,32.34781633059777,← 256°,195.0,224.0,"4,225","1,406",FlightAware ADS-B (TLV / LLBG)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:23:31 PM,32.01287405584131,32.40486080884503,← 257°,221.0,254.0,"4,750","1,500",FlightAware ADS-B (LLHZ)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:23:47 PM,32.01262011668213,32.460966371376934,← 257°,246.0,283.0,"5,350","1,953",FlightAware ADS-B (TLV / LLBG)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:24:13 PM,32.01240003782899,32.51577771671109,← 268°,271.0,312.0,"6,475","2,457",FlightAware ADS-B (LLHZ)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:24:35 PM,32.01224394876758,32.56907284479591,← 291°,279.0,321.0,"7,725","2,000",FlightAware ADS-B (BEY / OLBA)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:24:58 PM,32.01215146348066,32.62073249394028,← 291°,292.0,336.0,"8,175","1,038",FlightAware ADS-B (LLEK)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:25:28 PM,32.01211448618148,32.670710338920436,← 289°,291.0,335.0,"8,400","1,500",FlightAware ADS-B (SDV / LLSD)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:25:56 PM,32.012137887551944,32.71900084254025,← 273°,293.0,337.0,"8,975","1,792",FlightAware ADS-B (LLHS)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:26:19 PM,32.012471791914216,32.76548485602831,← 273°,354.0,407.0,"11,625","1,866",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:26:35 PM,32.01314984242563,32.81022290656358,← 297°,358.0,412.0,"12,800","1,945",FlightAware MLAT (10 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:26:51 PM,32.0142161280207,32.85324825492031,↖ 332°,364.0,419.0,"13,700","1,172",FlightAware MLAT (5 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:28:23 PM,32.01569927498258,32.89461181016447,↖ 332°,374.0,430.0,"14,050","1,476",FlightAware MLAT (10 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:28:54 PM,32.01762781081256,32.93436222055988,↖ 332°,374.0,430.0,"15,250","2,976",FlightAware MLAT (4 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:29:27 PM,32.02001843265555,32.97255066625799,↖ 332°,378.0,435.0,"17,175","2,685",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:29:58 PM,32.022884203089205,33.00923305870458,↖ 332°,386.0,444.0,"18,025","1,742",FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:30:30 PM,32.026233909594396,33.0444601597765,↖ 332°,390.0,449.0,"18,975","1,746",FlightAware MLAT (10 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:31:01 PM,32.030073626336716,33.078281638312745,↖ 332°,392.0,451.0,"19,800","1,402",FlightAware MLAT (9 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:31:32 PM,32.034372120058734,33.110775271205796,↖ 332°,392.0,451.0,"20,050","1,009",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:32:03 PM,32.03916678442786,33.14201416473183,↖ 332°,400.0,460.0,"20,725","1,386",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:32:33 PM,32.04446409141739,33.17207745560978,↑ 349°,408.0,470.0,"21,575","2,074",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:32:49 PM,32.05032808282451,33.20102291200496,↑ 355°,416.0,479.0,"23,075","2,007",FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:33:28 PM,32.05676063988755,33.22890678901992,↑ 355°,418.0,481.0,"23,850","1,475",FlightAware MLAT (4 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:33:55 PM,32.06377016319481,33.255782856563755,↑ 355°,424.0,488.0,"24,525","1,306",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:34:36 PM,32.07136321037989,33.281703755434044,↑ 355°,430.0,495.0,"25,200","1,188",FlightAware MLAT (9 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:35:03 PM,32.07951958401817,33.3067155059438,↑ 354°,430.0,495.0,"25,475","1,020",FlightAware MLAT (10 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:35:35 PM,32.08825648203605,33.33086096055857,↑ 355°,432.0,497.0,"26,050","1,258",FlightAware MLAT (6 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:36:05 PM,32.097578888274285,33.35417645298387,↑ 355°,438.0,504.0,"26,775","1,161",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:36:23 PM,32.10749886499464,33.37669612808798,↑ 354°,442.0,509.0,"27,250","1,137",FlightAware MLAT (6 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:36:55 PM,32.11802113764665,33.39845225750858,↑ 355°,444.0,511.0,"27,950","1,100",FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:37:25 PM,32.12915300382706,33.419474558401475,↑ 354°,448.0,516.0,"28,350",566,FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:37:57 PM,32.14090106765325,33.4397904383952,↑ 355°,452.0,520.0,"28,525",677,FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:38:27 PM,32.15327718387234,33.459425683185195,↑ 354°,456.0,525.0,"29,050",703,FlightAware MLAT (9 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:38:57 PM,32.16629266426179,33.47840425231473,↑ 355°,458.0,527.0,"29,275",643,FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:39:28 PM,32.17995236691863,33.49674844606789,↑ 355°,460.0,529.0,"29,725","1,016",FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:39:59 PM,32.19426511983021,33.51447928222355,↑ 354°,466.0,536.0,"30,325",919,FlightAware MLAT (9 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:40:32 PM,32.20923274396071,33.53162144194022,↑ 354°,468.0,539.0,"30,675",861,FlightAware MLAT (7 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:41:02 PM,32.22486109384551,33.54820055563897,↑ 357°,468.0,539.0,"31,200",984,FlightAware MLAT (8 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:41:34 PM,32.24115093214586,33.5642382410147,↑ 359°,466.0,536.0,"31,675",605,FlightAware MLAT (5 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:42:04 PM,32.258110340254106,33.579754992210304,↑ 359°,466.0,536.0,"31,825",773,FlightAware MLAT (11 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:42:35 PM,32.275742286557445,33.59477005850761,↑ 358°,468.0,539.0,"32,500",879,FlightAware MLAT (6 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:43:05 PM,32.29406548391628,33.60929949893523,↑ 358°,472.0,543.0,"32,850",706,FlightAware MLAT (4 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:43:37 PM,32.31307736978754,33.623361608346606,↑ 358°,468.0,539.0,"33,300",800,FlightAware MLAT (5 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:44:09 PM,32.33277640948454,33.63697170835601,↑ 358°,468.0,539.0,"33,650","1,000",FlightAware MLAT (9 sites)
TLV - TZX,Pegasus,PC895,A320,17/07/2023,Mon 12:44:47 PM,32.35315955831301,33.65014642433195,↑ 358°,460.0,529.0,"34,300","1,040",FlightAware MLAT (8 sites)
