Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:19:50 AM,32.0129,34.862,← 258°,166,191,950, ,FlightAware ADS-B (LCA / LCLK)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:20:06 AM,32.0103,34.8493,← 257°,159,183,"1,675","2,625",FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:20:22 AM,32.0072,34.8346,← 256°,159,183,"2,350","2,016",FlightAware ADS-B (LLEK)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:20:38 AM,32.0047,34.8217,← 257°,165,190,"2,750","1,641",FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:20:54 AM,32.0018,34.8073,← 257°,166,191,"3,225","1,406",FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:21:10 AM,31.9989,34.7927,← 257°,181,208,"3,500",913,FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:21:40 AM,31.9923,34.7597,← 259°,225,259,"3,925",980,FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:21:59 AM,31.9953,34.7361,← 288°,249,287,"4,300","1,959",FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:22:29 AM,32.0082,34.6955,← 291°,271,312,"5,525","2,625",FlightAware ADS-B (BEV / LLBS)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:22:55 AM,32.0198,34.6579,← 290°,277,319,"6,750","2,750",FlightAware ADS-B (TLV / LLBG)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:23:11 AM,32.0259,34.634,← 281°,295,339,"7,450","2,230",FlightAware ADS-B (BEY / OLBA)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:23:32 AM,32.028,34.5992,← 254°,441,507,"8,125",877,FlightAware ADS-B (LLHZ)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:24:04 AM,32.0318,34.5396,← 274°,546,628,"8,225",318,FlightAware ADS-B (LLEK)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:24:38 AM,32.0466,34.4823,← 312°,378,435,"8,475","1,985",FlightAware ADS-B (BEV / LLBS)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:26:14 AM,32.1898,34.4636,↑ 6°,354,407,"12,525","2,460",FlightAware MLAT (5 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:26:54 AM,32.2551,34.471,↑ 6°,360,414,"14,050","2,176",FlightAware MLAT (6 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:27:25 AM,32.3064,34.4777,↑ 354°,366,421,"15,100","1,837",FlightAware MLAT (6 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:27:43 AM,32.3408,34.4751,↖ 332°,372,428,"15,550","1,800",FlightAware MLAT (6 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:28:00 AM,32.3668,34.4691,↖ 317°,378,435,"16,150","1,843",FlightAware MLAT (5 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:28:18 AM,32.3887,34.4391,← 315°,384,442,"16,625","1,582",FlightAware MLAT (7 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:28:55 AM,32.429,34.3644,← 315°,392,451,"17,600","1,787",FlightAware MLAT (9 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:29:26 AM,32.4677,34.3108,← 315°,400,460,"18,650","2,095",FlightAware MLAT (4 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:29:58 AM,32.5117,34.2675,← 315°,400,460,"19,800","2,129",FlightAware MLAT (6 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:30:28 AM,32.5552,34.2276,↑ 344°,396,456,"20,850","1,793",FlightAware MLAT (10 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:30:44 AM,32.5823,34.2109,↑ 354°,400,460,"21,175","1,172",FlightAware MLAT (4 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:31:00 AM,32.6122,34.2041,↑ 354°,402,463,"21,475","1,545",FlightAware MLAT (7 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:31:17 AM,32.6396,34.2013,↑ 354°,402,463,"22,025","1,670",FlightAware MLAT (7 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:31:44 AM,32.6976,34.2109,↑ 355°,406,467,"22,700","1,373",FlightAware MLAT (8 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:32:16 AM,32.7594,34.2063,↑ 354°,414,476,"23,375","1,102",FlightAware MLAT (4 sites)
TLV - VAR,Israir,ISR713,A320,18/07/2023,Tue 10:32:48 AM,32.8217,34.1986,↑ 354°,424,488,"23,875","1,234",FlightAware MLAT (7 sites)
