Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:53:36 AM,32.0117,34.8539,← 259°,174,200,725, ,FlightAware ADS-B (AKT / LCRA)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:54:06 AM,32.0062,34.8278,← 257°,176,203,"1,875","2,283",FlightAware ADS-B (PFO / LCPH)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:54:22 AM,32.0028,34.8112,← 256°,181,208,"2,475","2,109",FlightAware ADS-B (AKT / LCRA)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:54:38 AM,32,34.7977,← 257°,181,208,"3,000","1,917",FlightAware ADS-B (TLV / LLBG)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:54:58 AM,31.9962,34.7785,← 257°,188,216,"3,625","1,500",FlightAware ADS-B (LLHS)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:55:17 AM,31.9933,34.7574,← 269°,211,243,"3,975","1,050",FlightAware ADS-B (LLEK)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:55:38 AM,31.9965,34.7339,← 288°,235,270,"4,325","1,257",FlightAware ADS-B (TLV / LLBG)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:55:54 AM,32.004,34.7106,← 290°,257,296,"4,750","1,838",FlightAware ADS-B (TLV / LLBG)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 06:56:18 AM,32.0119,34.6791,← 286°,274,315,"5,550","2,217",FlightAware ADS-B (TLV / LLBG)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 07:01:58 AM,32.1535,34.0614,← 285°,390,449,"18,200","2,212",FlightAware MLAT (4 sites)
TLV - VCE,El Al,ELY289,B738,23/07/2023,Sun 07:02:29 AM,32.1669,34.002,← 290°,396,456,"19,225","1,754",FlightAware MLAT (4 sites)
