Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 09:59:06 PM,32.0128,34.8605,← 260°,165,190,800, ,FlightAware ADS-B (LLHZ)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 09:59:22 PM,32.0106,34.8471,← 259°,161,185,"1,425","2,109",FlightAware ADS-B (JRS / LLJR)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 09:59:38 PM,32.0081,34.8334,← 257°,164,189,"1,925","1,781",FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 09:59:54 PM,32.005,34.8194,← 255°,166,191,"2,375","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:00:10 PM,32.0017,34.8052,← 255°,163,188,"2,925","1,467",FlightAware ADS-B (SDV / LLSD)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:00:40 PM,31.996,34.7793,← 256°,180,207,"3,500","1,020",FlightAware ADS-B (SDV / LLSD)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:01:00 PM,31.9918,34.7593,← 258°,205,236,"3,775",792,FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:01:16 PM,31.9924,34.7401,← 286°,230,265,"3,975",882,FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:01:34 PM,31.9993,34.7175,← 291°,255,293,"4,275","1,813",FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:02:04 PM,32.0132,34.6766,← 292°,273,314,"5,425","2,538",FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:02:26 PM,32.0235,34.6447,← 289°,280,322,"6,475","3,000",FlightAware ADS-B (BEV / LLBS)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:02:54 PM,32.028,34.6054,← 273°,274,315,"7,925","2,767",FlightAware ADS-B (SDV / LLSD)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:03:24 PM,32.0301,34.5597,← 273°,284,327,"9,150","2,240",FlightAware ADS-B (SDV / LLSD)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:04:09 PM,32.0339,34.4873,← 274°,302,348,"10,725","1,738",FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:04:27 PM,32.0362,34.4565,← 279°,319,367,"10,975",892,FlightAware ADS-B (BEV / LLBS)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:04:46 PM,32.0455,34.424,← 285°,308,354,"11,275","1,561",FlightAware ADS-B (TLV / LLBG)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:06:29 PM,32.0987,34.2403,← 289°,352,405,"14,150","1,678",FlightAware MLAT (5 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:08:23 PM,32.2966,34.1858,↑ 347°,378,435,"17,400", ,Estimated
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:08:25 PM,32.1586,34.0329,← 289°,386,444,"18,100", ,FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:09:05 PM,32.1901,33.9665,← 306°,386,444,"19,600","1,535",FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:09:51 PM,32.2383,33.8916,← 305°,388,447,"19,925","1,422",FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:10:22 PM,32.2741,33.8152,← 305°,392,451,"20,700","1,082",FlightAware MLAT (5 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:10:52 PM,32.3098,33.7652,← 311°,404,465,"21,575","1,597",FlightAware MLAT (7 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:11:24 PM,32.3451,33.71,← 311°,400,460,"22,100","1,355",FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:11:54 PM,32.3853,33.6617,← 311°,406,467,"22,725","1,150",FlightAware MLAT (6 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:12:24 PM,32.4222,33.6097,← 311°,410,472,"23,150","1,033",FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:12:55 PM,32.4601,33.5592,← 310°,410,472,"23,675",934,FlightAware MLAT (5 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:13:25 PM,32.4977,33.5068,← 310°,414,476,"24,350","1,180",FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:13:56 PM,32.5348,33.454,← 310°,414,476,"24,725","1,016",FlightAware MLAT (5 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:14:27 PM,32.5717,33.3993,← 310°,418,481,"25,150",787,FlightAware MLAT (7 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:14:57 PM,32.6094,33.3477,← 310°,417,480,"25,775",926,FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:15:35 PM,32.6583,33.2836,← 310°,424,488,"26,300",972,FlightAware ADS-B (SDV / LLSD)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:16:08 PM,32.7019,33.2218,← 310°,432,497,"27,225",770,FlightAware ADS-B (AKT / LCRA)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:17:28 PM,32.7991,33.0762,← 310°,434,499,"27,650",698,FlightAware MLAT (7 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:18:04 PM,32.8498,33.0135,← 310°,434,499,"28,100",761,FlightAware MLAT (9 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:18:37 PM,32.8896,32.9506,← 310°,434,499,"28,675",961,FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:19:08 PM,32.9323,32.8968,← 310°,436,502,"29,000",831,FlightAware MLAT (9 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:19:42 PM,32.9778,32.8351,← 310°,436,502,"29,225",516,FlightAware MLAT (5 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:20:12 PM,33.0167,32.781,← 310°,440,506,"29,675",664,FlightAware MLAT (7 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:20:43 PM,33.0586,32.7229,← 310°,440,506,"29,975",714,FlightAware MLAT (4 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:21:15 PM,33.0994,32.6637,← 310°,445,512,"30,350",604,FlightAware MLAT (7 sites)
TLV - VNO,Wizz Air,WZZ8094,A320,28/06/2023,Wed 10:21:50 PM,33.1458,32.5979,← 310°,449,517,"30,550",531,FlightAware ADS-B (ADA / LTAF)
