Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:18:02 PM,32.0132,34.8636,← 259°,164,189,875, ,FlightAware ADS-B (PFO / LCPH)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:18:18 PM,32.0106,34.8487,← 257°,164,189,"1,550","2,438",FlightAware ADS-B (AKT / LCRA)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:18:34 PM,32.0078,34.8348,← 256°,164,189,"2,175","1,969",FlightAware ADS-B (LCA / LCLK)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:18:50 PM,32.0047,34.8202,← 256°,165,190,"2,600","1,406",FlightAware ADS-B (LLEK)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:19:06 PM,32.0018,34.8067,← 256°,172,198,"2,925","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:19:22 PM,31.9989,34.793,← 256°,169,194,"3,400","1,141",FlightAware ADS-B (SDV / LLSD)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:19:52 PM,31.9927,34.7627,← 257°,200,230,"3,800",670,FlightAware ADS-B (SDV / LLSD)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:20:09 PM,31.9923,34.7427,← 284°,218,251,"3,925",750,FlightAware ADS-B (SDV / LLSD)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:20:26 PM,31.9982,34.722,← 291°,248,285,"4,225","1,346",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:20:48 PM,32.0078,34.6934,← 292°,270,311,"4,800","2,192",FlightAware ADS-B (LLEK)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:21:18 PM,32.0216,34.6516,← 291°,279,321,"6,125","2,656",FlightAware ADS-B (LLEK)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:21:36 PM,32.0276,34.6223,← 275°,289,333,"6,925","2,438",FlightAware ADS-B (LLHZ)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:22:06 PM,32.0299,34.5771,← 273°,298,343,"8,075","1,377",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:22:37 PM,32.0325,34.5225,← 273°,337,388,"8,325",780,FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:22:56 PM,32.0368,34.4869,← 284°,348,400,"8,725","1,618",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:23:15 PM,32.0464,34.4511,← 287°,354,407,"9,350","2,167",FlightAware ADS-B (BEY / OLBA)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:23:50 PM,32.0644,34.3879,← 288°,360,414,"10,675","2,238",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:24:20 PM,32.0796,34.3307,← 287°,362,417,"11,775","2,000",FlightAware ADS-B (LLEK)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:24:50 PM,32.0948,34.2732,← 287°,371,427,"12,675","1,700",FlightAware ADS-B (LLEK)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:25:20 PM,32.1099,34.2162,← 287°,378,435,"13,475","1,697",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:25:51 PM,32.1261,34.1561,← 287°,383,441,"14,400","1,820",FlightAware ADS-B (TLV / LLBG)
TLV - VRN,Israir,ISR351,A320,18/07/2023,Tue 06:26:21 PM,32.142,34.0957,← 287°,387,445,"15,325","1,725",FlightAware ADS-B (BEV / LLBS)
