Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 12:51:00 PM    Left Gate (TLV) @ Saturday 12:51:00 PM IDT,32.0117,34.8531,Airline,188,216,650, ,FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Taxi Time: 16 minutes,32.0091,34.8376,FlightAware ADS-B (TLV / LLBG),195,224,"1,200","2,297",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:07:56 PM    Departure (TLV) @ Saturday 01:07:56 PM IDT,32.0058,34.8217,← 259°,197,227,"1,875","2,227",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:07:56 PM,32.0018,34.8035,← 259°,201,231,"2,425","1,786",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:08:12 PM,31.9959,34.7763,← 255°,205,236,"3,125","1,679",FlightAware ADS-B (LLHS)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:08:28 PM,31.9927,34.7568,← 256°,209,241,"3,600","1,279",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:08:45 PM,31.9945,34.7389,← 256°,223,257,"3,850",730,FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:09:10 PM,32.002,34.7151,← 266°,246,283,"4,050",930,FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:09:27 PM,32.0149,34.6734,← 285°,277,319,"4,625","1,590",FlightAware ADS-B (BEY / OLBA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:09:44 PM,32.0237,34.644,← 290°,282,325,"5,375","2,329",FlightAware ADS-B (BEV / LLBS)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:10:04 PM,32.0278,34.6165,← 290°,284,327,"6,100","2,531",FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:10:34 PM,32.0307,34.5702,← 286°,281,323,"7,400","2,159",FlightAware ADS-B (BEV / LLBS)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:10:54 PM,32.0627,34.4303,← 275°,299,344,"10,525","1,754",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:11:12 PM,32.0754,34.379,← 278°,325,374,"11,025",959,FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:11:42 PM,32.0883,34.3259,← 286°,347,399,"11,500","1,050",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:13:15 PM,32.1021,34.2696,← 286°,366,421,"12,075","1,377",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:13:46 PM,32.1166,34.2109,← 286°,374,430,"12,900","1,690",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:14:16 PM,32.1321,34.1475,← 286°,380,437,"13,850","1,595",FlightAware ADS-B (LLEK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:14:46 PM,32.1476,34.0833,← 286°,389,448,"14,575","1,548",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:15:17 PM,32.1622,34.0235,← 286°,392,451,"15,450","1,723",FlightAware ADS-B (TLV / LLBG)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:15:49 PM,32.1739,33.9902,← 286°,395,455,"15,925","1,727",FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:16:20 PM,32.1893,33.9594,← 288°,396,456,"16,400","1,596",FlightAware ADS-B (SDV / LLSD)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:16:51 PM,32.2219,33.906,← 296°,400,460,"17,175","1,500",FlightAware ADS-B (LLEK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:17:07 PM,32.2538,33.8526,← 304°,405,466,"17,900","1,475",FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:17:24 PM,32.2863,33.7985,← 305°,407,468,"18,650","1,200",FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:17:54 PM,32.3196,33.7433,← 305°,418,481,"19,100",625,FlightAware ADS-B (LLEK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:18:24 PM,32.3536,33.6865,← 305°,436,502,"19,275",400,FlightAware ADS-B (BEY / OLBA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:18:54 PM,32.3899,33.6256,← 305°,452,520,"19,500",525,FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:19:24 PM,32.4263,33.5649,← 305°,464,534,"19,800",650,FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:19:54 PM,32.4639,33.5018,← 305°,474,545,"20,150",725,FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:20:24 PM,32.5028,33.4366,← 305°,481,554,"20,525",850,FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:20:54 PM,32.5402,33.3738,← 305°,484,557,"21,000","1,000",FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:21:24 PM,32.5804,33.3062,← 305°,487,560,"21,525","1,025",FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:21:54 PM,32.6183,33.2423,← 305°,489,563,"22,025","1,000",FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:22:24 PM,32.6574,33.1765,← 305°,491,565,"22,525",881,FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:22:54 PM,32.702,33.1009,← 305°,496,571,"22,950",750,FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:23:24 PM,32.742,33.0328,← 305°,500,575,"23,325",713,FlightAware ADS-B (LLHZ)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:23:54 PM,32.7812,32.9662,← 305°,504,580,"23,675",750,FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:24:27 PM,32.822,32.8967,← 305°,508,585,"24,075",811,FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:24:58 PM,32.8628,32.827,← 305°,511,588,"24,500",811,FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:25:28 PM,32.9034,32.7578,← 305°,514,592,"24,900",775,FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:25:58 PM,32.9436,32.6891,← 305°,515,593,"25,275",713,FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:26:29 PM,32.9883,32.6122,← 305°,517,595,"25,625",689,FlightAware ADS-B (PFO / LCPH)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:26:59 PM,33.0277,32.5444,← 305°,520,598,"25,975",800,FlightAware ADS-B (LLEK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:27:29 PM,33.0677,32.4753,← 305°,518,596,"26,425","1,000",FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:28:00 PM,33.1088,32.4044,← 305°,516,594,"26,975","1,050",FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:28:30 PM,33.1499,32.3336,← 305°,516,594,"27,475","1,050",FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:29:00 PM,33.1901,32.2642,← 305°,513,590,"28,025",850,FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:29:30 PM,33.2303,32.1946,← 305°,516,594,"28,325",350,FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:30:00 PM,33.2709,32.1238,← 305°,524,603,"28,375",175,FlightAware ADS-B (LCA / LCLK)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:30:30 PM,33.3126,32.051,← 305°,530,610,"28,500",500,FlightAware ADS-B (AKT / LCRA)
TLV - YUL,Air Canada,AC83,B789,15/07/2023,Sat 01:31:00 PM,33.3433,32.0009,← 304°,530,610,"28,800","1,250",FlightAware ADS-B (GZP / LTFG)
