Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:17:14 PM    Departure (TLV) @ Monday 12:17:14 PM IDT,32.0142,32.03822896499838,FlightAware ADS-B (TLV / LLBG),196.0,226.0,375, ,FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:17:14 PM,32.01418199488812,32.07697787504133,← 260°,193.0,222.0,"1,025","2,500",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:17:30 PM,32.01413107659264,32.124656318491816,← 259°,196.0,226.0,"1,750","2,500",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:17:47 PM,32.01403578532236,32.17757257700622,← 255°,199.0,229.0,"2,400","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:18:03 PM,32.01389329522029,32.23334260242397,← 256°,204.0,235.0,"2,850","1,720",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:18:19 PM,32.01369372717514,32.29035426363071,← 256°,209.0,241.0,"3,575","1,429",FlightAware ADS-B (LLEK)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:18:44 PM,32.01344162238876,32.347576149077454,← 256°,224.0,258.0,"3,850",946,FlightAware ADS-B (LLEK)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:19:01 PM,32.01318357548719,32.4042654472964,← 269°,249.0,287.0,"4,300","1,373",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:19:30 PM,32.01296398446338,32.45991963032754,← 290°,266.0,306.0,"5,200","2,066",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:20:00 PM,32.01280808905828,32.514232177926644,← 291°,274.0,315.0,"6,125","2,344",FlightAware ADS-B (BEY / OLBA)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:20:23 PM,32.01272721492568,32.56700932654378,← 287°,278.0,320.0,"7,075","1,605",FlightAware ADS-B (TLV / LLBG)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:20:48 PM,32.01316368299645,32.617748150124854,← 287°,392.0,451.0,"12,600", ,Estimated
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:22:42 PM,32.014255257771296,32.66629949107872,↖ 318°,400.0,460.0,"13,400", ,Estimated
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:23:45 PM,32.01545220464978,32.71260973810647,↖ 318°,408.0,470.0,"14,275", ,FlightAware MLAT (6 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:24:25 PM,32.01675784396135,32.75672393663107,← 285°,412.0,474.0,"15,150","1,621",FlightAware MLAT (4 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:24:57 PM,32.018181985043576,32.79865607506008,← 285°,416.0,479.0,"15,950","1,750",FlightAware MLAT (4 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:25:27 PM,32.01972966982432,32.838457465428,← 285°,416.0,479.0,"16,625","1,595",FlightAware MLAT (6 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:25:57 PM,32.02140905428654,32.8761732618104,← 284°,420.0,483.0,"17,400","1,770",FlightAware MLAT (7 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:26:30 PM,32.02322943165559,32.91192914113433,← 297°,422.0,486.0,"17,650","1,933",FlightAware MLAT (7 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:26:47 PM,32.02522804315952,32.94579403252808,← 305°,430.0,495.0,"18,900","1,042",FlightAware MLAT (5 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:27:15 PM,32.02743715710677,32.9778343390143,← 305°,434.0,499.0,"19,750","1,406",FlightAware MLAT (5 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:27:46 PM,32.02989064178194,33.0081009644573,← 305°,438.0,504.0,"20,675","2,000",FlightAware MLAT (5 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:28:19 PM,32.03260854873275,33.03665549114389,← 305°,442.0,509.0,"21,300","1,746",FlightAware MLAT (5 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:28:49 PM,32.03559905316945,33.06354453716904,← 305°,446.0,513.0,"22,075","1,500",FlightAware MLAT (7 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:29:20 PM,32.03888172421342,33.08881575844026,← 305°,452.0,520.0,"23,050","1,313",FlightAware MLAT (6 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:29:51 PM,32.04247191237371,33.112506973586676,← 305°,454.0,522.0,"23,800","1,641",FlightAware MLAT (4 sites)
TLV - YYZ,Air Canada,AC81,B77L,17/07/2023,Mon 12:30:24 PM,32.04638559433063,33.134658462284385,← 305°,460.0,529.0,"24,500","1,617",FlightAware MLAT (5 sites)
