Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:14:04 AM,32.0114,34.8505,← 258°,162,186,"1,150", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:14:20 AM,32.0084,34.836,← 256°,156,180,"1,875","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:14:36 AM,32.0057,34.8232,← 256°,161,185,"2,400","2,156",FlightAware ADS-B (TLV / LLBG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:14:52 AM,32.0025,34.8088,← 256°,161,185,"3,025","2,156",FlightAware ADS-B (TLV / LLBG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:15:08 AM,31.9995,34.7947,← 256°,168,193,"3,550","1,588",FlightAware ADS-B (LLHS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:15:26 AM,31.996,34.7784,← 256°,183,211,"3,925","1,292",FlightAware ADS-B (SDV / LLSD)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:15:44 AM,31.9922,34.7587,← 259°,204,235,"4,325","1,632",FlightAware ADS-B (TLV / LLBG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:16:00 AM,31.9941,34.7409,← 286°,219,252,"4,850","2,029",FlightAware ADS-B (TLV / LLBG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:16:18 AM,32.0008,34.7197,← 290°,241,277,"5,475","2,465",FlightAware ADS-B (LLEK)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:17:55 AM,32.0277,34.5803,← 274°,292,336,"9,575","2,112",FlightAware MLAT (4 sites)
