Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:20:47 PM,32.0129,32.03687510726357,← 260°,166.0,191.0,775, ,FlightAware ADS-B (PFO / LCPH)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:21:03 PM,32.01288343529706,32.075550582689935,← 259°,166.0,191.0,"1,425","2,391",FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:21:19 PM,32.01283864140654,32.12316152590636,← 257°,169.0,194.0,"2,050","1,641",FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:21:35 PM,32.012759747186955,32.17604303266163,← 256°,178.0,205.0,"2,300","1,266",FlightAware ADS-B (PFO / LCPH)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:21:51 PM,32.01263924238014,32.2317981791574,← 256°,182.0,209.0,"2,725","1,463",FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:22:15 PM,32.012468951916595,32.28883109615199,← 258°,187.0,215.0,"3,275","1,050",FlightAware ADS-B (LLHZ)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:22:31 PM,32.01226985727333,32.34610446262331,← 291°,206.0,237.0,"3,425",618,FlightAware ADS-B (JRS / LLJR)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:22:49 PM,32.01208881288265,32.40294465349004,↖ 320°,223.0,257.0,"3,625",750,FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:23:07 PM,32.01198265443221,32.45893463417884,↑ 352°,237.0,273.0,"3,875",917,FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:23:25 PM,32.01199146712851,32.51385463138511,↗ 37°,255.0,293.0,"4,175","1,071",FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:23:28 PM,32.012099835845376,32.56755795124685,↗ 46°,258.0,297.0,"4,250","2,457",Surface and Near-Surface
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:24:34 PM,32.01227489043825,32.62020679878495,→ 101°,283.0,326.0,"7,000","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:25:04 PM,32.012485051589245,32.671818141084614,→ 101°,287.0,330.0,"8,000","1,107",FlightAware ADS-B (LLEK)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:25:35 PM,32.01270471526106,32.72243372165654,→ 101°,286.0,329.0,"8,125",143,FlightAware ADS-B (LLHZ)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:26:07 PM,32.01291372852205,32.77210341276291,→ 101°,290.0,334.0,"8,150",315,FlightAware ADS-B (LLEK)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:26:37 PM,32.01309694318756,32.820876964429,→ 101°,297.0,342.0,"8,450",625,FlightAware ADS-B (TLV / LLBG)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:27:07 PM,32.013242437780015,32.868804543080884,→ 101°,298.0,343.0,"8,775",652,FlightAware ADS-B (LLEK)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:27:23 PM,32.01334731033089,32.91589654147714,→ 101°,300.0,345.0,"8,950",457,FlightAware ADS-B (SDV / LLSD)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:27:53 PM,32.013402745266426,32.962213242725745,→ 101°,301.0,346.0,"9,125",178,FlightAware ADS-B (SDV / LLSD)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:28:22 PM,32.01340219679793,33.00780925173985,→ 98°,300.0,345.0,"9,125",223,FlightAware ADS-B (SDV / LLSD)
TLV - ZNZ,Israir,ISR911,A320,11/7/2023,Tue 02:28:40 PM,32.01335844998605,33.052703777831724,→ 72°,300.0,345.0,"9,300","1,500",FlightAware ADS-B (LLHS)
