Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:34:19 PM,32.0109,34.8485,← 260°,181,208,925, ,FlightAware ADS-B (TLV / LLBG)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:34:35 PM,32.0076,34.8317,← 256°,185,213,"1,600","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:34:51 PM,32.0044,34.8165,← 255°,186,214,"2,125","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:35:07 PM,32.0009,34.8005,← 255°,189,217,"2,650","2,132",FlightAware ADS-B (TLV / LLBG)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:35:29 PM,31.9961,34.7782,← 256°,189,217,"3,475","1,974",FlightAware ADS-B (LLEK)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:35:45 PM,31.9928,34.762,← 258°,199,229,"3,900","1,324",FlightAware ADS-B (LLHS)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:36:03 PM,31.9934,34.7422,← 282°,216,249,"4,225","1,085",FlightAware ADS-B (TLV / LLBG)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:36:32 PM,32.0046,34.7069,← 290°,253,291,"4,750","1,627",FlightAware ADS-B (LLEK)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:37:02 PM,32.0172,34.6666,← 290°,265,305,"5,825","2,156",FlightAware ADS-B (LCA / LCLK)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:37:20 PM,32.0247,34.6415,← 286°,274,315,"6,475","1,929",FlightAware ADS-B (SDV / LLSD)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:37:37 PM,32.0278,34.618,← 275°,286,329,"6,950","1,382",FlightAware ADS-B (SDV / LLSD)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:37:58 PM,32.0297,34.5829,← 274°,294,338,"7,350","1,088",FlightAware ADS-B (PFO / LCPH)
TLV - ZTH,El Al,LY5039,B738,17/07/2023,Mon 02:38:28 PM,32.0321,34.534,← 274°,296,341,"7,875",975,FlightAware ADS-B (BEY / OLBA)
