Route1,Route2,DTW_Distance
TLV - ADB,TLV - ADD,1136.6305180104375
TLV - ADB,TLV - AMM,917.8660834868585
TLV - ADB,TLV - AMS,5194.389154646077
TLV - ADB,TLV - ARN,5033.247194856881
TLV - ADB,TLV - ATH,192.8035860599951
TLV - ADB,TLV - ATL,57574.231806725904
TLV - ADB,TLV - AUH,1705.392200924562
TLV - ADB,TLV - AYT,449.21141149972
TLV - ADB,TLV - BAH,983.6775175558943
TLV - ADB,TLV - BCN,5634.100962205934
TLV - ADB,TLV - BEG,814.3818295582295
TLV - ADB,TLV - BER,3878.750778749446
TLV - ADB,TLV - BKK,16583.735376313904
TLV - ADB,TLV - BLQ,3828.323510597165
TLV - ADB,TLV - BOJ,697.8296299065496
TLV - ADB,TLV - BOS,19173.250095407493
TLV - ADB,TLV - BRI,1206.7306446265488
TLV - ADB,TLV - BRU,5297.7350491587185
TLV - ADB,TLV - BUD,1672.8850209825616
TLV - ADB,TLV - CDG,5545.602805625279
TLV - ADB,TLV - CLJ,1284.960000858157
TLV - ADB,TLV - CMN,10195.427853513724
TLV - ADB,TLV - CTA,1482.683257334149
TLV - ADB,TLV - DEB,1612.6037613843455
TLV - ADB,TLV - DEL,5692.652746851729
TLV - ADB,TLV - DLM,181.9249572057223
TLV - ADB,TLV - DME,4670.634540403666
TLV - ADB,TLV - DUB,9395.581001613422
TLV - ADB,TLV - DUS,5219.371846031923
TLV - ADB,TLV - EVN,717.0559022472195
TLV - ADB,TLV - FCO,1867.8471206521729
TLV - ADB,TLV - FKB,3933.737651581502
TLV - ADB,TLV - FMM,3363.444017321004
TLV - ADB,TLV - FRA,4097.337535243945
TLV - ADB,TLV - GVA,4650.626700109803
TLV - ADB,TLV - GYD,696.9620682964759
TLV - ADB,TLV - HEL,4947.421879106561
TLV - ADB,TLV - HER,201.58768553525263
TLV - ADB,TLV - HKG,15930.071088464494
TLV - ADB,TLV - HKT,17879.650869030163
TLV - ADB,TLV - IAD,28703.29959179019
TLV - ADB,TLV - IAS,1085.535738270056
TLV - ADB,TLV - ICN,13964.09760735844
TLV - ADB,TLV - IST,632.8645878633187
TLV - ADB,TLV - JFK,30925.139012300086
TLV - ADB,TLV - JNB,9368.759368808274
TLV - ADB,TLV - KEF,7194.207093834861
TLV - ADB,TLV - KIV,620.5070903969577
TLV - ADB,TLV - KRK,2126.572035938768
TLV - ADB,TLV - LAX,88707.25199545066
TLV - ADB,TLV - LCA,632.6499038263578
TLV - ADB,TLV - LHR,6518.248122555114
TLV - ADB,TLV - LIS,9549.999999150838
TLV - ADB,TLV - MAD,6683.068313165422
TLV - ADB,TLV - MAN,7410.146226592782
TLV - ADB,TLV - MIA,33643.07771088244
TLV - ADB,TLV - MLA,1607.1512386482868
TLV - ADB,TLV - MUC,2505.942312088461
TLV - ADB,TLV - MXP,3353.123940931352
TLV - ADB,TLV - NAP,1820.195601946326
TLV - ADB,TLV - NCE,3375.9425852778218
TLV - ADB,TLV - NRT,39989.377864047965
TLV - ADB,TLV - OPO,9957.917651921307
TLV - ADB,TLV - ORD,48729.51253613367
TLV - ADB,TLV - OTP,824.2920191797032
TLV - ADB,TLV - PEK,12797.47006765157
TLV - ADB,TLV - PFO,506.2664587052127
TLV - ADB,TLV - PMI,5060.532888689598
TLV - ADB,TLV - PRG,2737.364536730296
TLV - ADB,TLV - PVG,19689.799729246108
TLV - ADB,TLV - RHO,66.81086631118644
TLV - ADB,TLV - RIX,4216.407956275443
TLV - ADB,TLV - SFO,55357.39514802735
TLV - ADB,TLV - SKD,4328.046060213983
TLV - ADB,TLV - SKG,379.0170690144162
TLV - ADB,TLV - SOF,429.2028961172731
TLV - ADB,TLV - SSH,787.2946442498094
TLV - ADB,TLV - STR,3515.2384230812354
TLV - ADB,TLV - SZG,2583.332230379369
TLV - ADB,TLV - TAS,4442.419276475212
TLV - ADB,TLV - TBS,1055.606861051453
TLV - ADB,TLV - TGD,1069.1809892663282
TLV - ADB,TLV - TIA,876.4929865519211
TLV - ADB,TLV - TIV,716.1090465578475
TLV - ADB,TLV - TRN,3432.822156725969
TLV - ADB,TLV - TZX,727.2506122615528
TLV - ADB,TLV - VAR,797.9036654452507
TLV - ADB,TLV - VCE,2698.183019753826
TLV - ADB,TLV - VIE,2043.6505139810306
TLV - ADB,TLV - VNO,3266.616926564124
TLV - ADB,TLV - VRN,2769.672106336805
TLV - ADB,TLV - WAW,2402.4145976358145
TLV - ADB,TLV - YUL,47246.30103598901
TLV - ADB,TLV - YYZ,48304.575741992056
TLV - ADB,TLV - ZAG,1379.0135925140828
TLV - ADB,TLV - ZNZ,3826.8843514649166
TLV - ADB,TLV - ZRH,3674.3516557326584
TLV - ADB,TLV - ZTH,467.3914206128941
TLV - ADD,TLV - AMM,533.9858037442782
TLV - ADD,TLV - AMS,8993.627738601808
TLV - ADD,TLV - ARN,8434.52086668925
TLV - ADD,TLV - ATH,1458.960221919475
TLV - ADD,TLV - ATL,64346.63746174252
TLV - ADD,TLV - AUH,532.1965060213751
TLV - ADD,TLV - AYT,1000.8395724208692
TLV - ADD,TLV - BAH,165.37461354464537
TLV - ADD,TLV - BCN,8795.906957021742
TLV - ADD,TLV - BEG,2939.1352483940145
TLV - ADD,TLV - BER,6929.98378648703
TLV - ADD,TLV - BKK,14143.15588210585
TLV - ADD,TLV - BLQ,6950.470216358992
TLV - ADD,TLV - BOJ,1764.1746910842326
TLV - ADD,TLV - BOS,23532.800116567458
TLV - ADD,TLV - BRI,3218.562660548171
TLV - ADD,TLV - BRU,8760.806721475585
TLV - ADD,TLV - BUD,3964.372467894189
TLV - ADD,TLV - CDG,8954.831285073888
TLV - ADD,TLV - CLJ,2903.645520166588
TLV - ADD,TLV - CMN,13889.804508170477
TLV - ADD,TLV - CTA,3131.9676252621457
TLV - ADD,TLV - DEB,4308.08098007039
TLV - ADD,TLV - DEL,3904.186062427483
TLV - ADD,TLV - DLM,1005.3577069150997
TLV - ADD,TLV - DME,7646.820008368122
TLV - ADD,TLV - DUB,14023.06922848233
TLV - ADD,TLV - DUS,8775.363642784452
TLV - ADD,TLV - EVN,350.0543218572102
TLV - ADD,TLV - FCO,4132.01783695647
TLV - ADD,TLV - FKB,7440.831328110831
TLV - ADD,TLV - FMM,6660.855325900373
TLV - ADD,TLV - FRA,7671.841430288968
TLV - ADD,TLV - GVA,8021.161134802974
TLV - ADD,TLV - GYD,354.02493760487084
TLV - ADD,TLV - HEL,8387.749238228735
TLV - ADD,TLV - HER,1050.99413420602
TLV - ADD,TLV - HKG,14897.68903007879
TLV - ADD,TLV - HKT,15355.857740296657
TLV - ADD,TLV - IAD,33717.13243473033
TLV - ADD,TLV - IAS,2685.0709616694967
